ityi  𠦑
jiti  𡨜
titi  𦯂
diti  𣓙
diti  𣒏
itiu  𥆳
itiv  𧚛
rxiti 𨁕
ams 昈
bmm  ⺜
ambg 𪱑
amsf 𤋁
arhdr ㍼
bimgi 𤦼
dm    
dmoig ㍿
dwali 𧖤
ewfg 濹
fpa  𤈎
hh 
hxu 龜
immgi 鿑
inf  礻
ipvs 𢍻
ixpf 𢊁
jv 𫠠
ksh  犭
llsb  帰
lxs 
m ー
mrem 亟
mu 兀
ni 々
nmby 鿕
ns ㇡
onqd 𣔕
opmrr 鿔
qsopj 𮧵
rysy  唹
ssmaa 𦑾
tlqo 𦰩
tmbo 鿒
tmz 鿓
tovu 荒
wibp 愚
wx   𡆵
xkkr 𥕭
xkkt 𥂞
xysc 與
yonk 夜
ysm 𨒎
yybuc 𧹂
yybuu 𬢆
zzau ↑
zzyp ˉ
zzyq ˙
mm ⚋
m ⚊
aaa ☰
baa ☱
aba ☲
bba ☳
aab ☴
bab ☵
abb ☶
bbb ☷
mmm ☰
cmm ☱
mcm ☲
ccm ☳
mmc ☴
cmc ☵
mcc ☶
ccc ☷
tm ☱
mt ☲
ct ☳
tc ☵
