아	a
악	ak
앆	akk
앇	aks
안	an
앉	anj
않	anh
앋	at
알	al
앍	alk
앎	alm
앏	alp
앐	als
앑	alt
앒	alp
앓	alh
암	am
압	ap
앖	aps
앗	as
았	ass
앙	ang
앚	aj
앛	ach
앜	ak
앝	at
앞	ap
앟	ah
애	ae
액	aek
앢	aekk
앣	aeks
앤	aen
앥	aenj
앦	aenh
앧	aet
앨	ael
앩	aelk
앪	aelm
앫	aelp
앬	aels
앭	aelt
앮	aelp
앯	aelh
앰	aem
앱	aep
앲	aeps
앳	aes
앴	aess
앵	aeng
앶	aej
앷	aech
앸	aek
앹	aet
앺	aep
앻	aeh
야	ya
약	yak
앾	yakk
앿	yaks
얀	yan
얁	yanj
얂	yanh
얃	yat
얄	yal
얅	yalk
얆	yalm
얇	yalp
얈	yals
얉	yalt
얊	yalp
얋	yalh
얌	yam
얍	yap
얎	yaps
얏	yas
얐	yass
양	yang
얒	yaj
얓	yach
얔	yak
얕	yat
얖	yap
얗	yah
얘	yae
얙	yaek
얚	yaekk
얛	yaeks
얜	yaen
얝	yaenj
얞	yaenh
얟	yaet
얠	yael
얡	yaelk
얢	yaelm
얣	yaelp
얤	yaels
얥	yaelt
얦	yaelp
얧	yaelh
얨	yaem
얩	yaep
얪	yaeps
얫	yaes
얬	yaess
얭	yaeng
얮	yaej
얯	yaech
얰	yaek
얱	yaet
얲	yaep
얳	yaeh
어	eo
억	eok
얶	eokk
얷	eoks
언	eon
얹	eonj
얺	eonh
얻	eot
얼	eol
얽	eolk
얾	eolm
얿	eolp
엀	eols
엁	eolt
엂	eolp
엃	eolh
엄	eom
업	eop
없	eops
엇	eos
었	eoss
엉	eong
엊	eoj
엋	eoch
엌	eok
엍	eot
엎	eop
엏	eoh
에	e
엑	ek
엒	ekk
엓	eks
엔	en
엕	enj
엖	enh
엗	et
엘	el
엙	elk
엚	elm
엛	elp
엜	els
엝	elt
엞	elp
엟	elh
엠	em
엡	ep
엢	eps
엣	es
엤	ess
엥	eng
엦	ej
엧	ech
엨	ek
엩	et
엪	ep
엫	eh
여	yeo
역	yeok
엮	yeokk
엯	yeoks
연	yeon
엱	yeonj
엲	yeonh
엳	yeot
열	yeol
엵	yeolk
엶	yeolm
엷	yeolp
엸	yeols
엹	yeolt
엺	yeolp
엻	yeolh
염	yeom
엽	yeop
엾	yeops
엿	yeos
였	yeoss
영	yeong
옂	yeoj
옃	yeoch
옄	yeok
옅	yeot
옆	yeop
옇	yeoh
예	ye
옉	yek
옊	yekk
옋	yeks
옌	yen
옍	yenj
옎	yenh
옏	yet
옐	yel
옑	yelk
옒	yelm
옓	yelp
옔	yels
옕	yelt
옖	yelp
옗	yelh
옘	yem
옙	yep
옚	yeps
옛	yes
옜	yess
옝	yeng
옞	yej
옟	yech
옠	yek
옡	yet
옢	yep
옣	yeh
오	o
옥	ok
옦	okk
옧	oks
온	on
옩	onj
옪	onh
옫	ot
올	ol
옭	olk
옮	olm
옯	olp
옰	ols
옱	olt
옲	olp
옳	olh
옴	om
옵	op
옶	ops
옷	os
옸	oss
옹	ong
옺	oj
옻	och
옼	ok
옽	ot
옾	op
옿	oh
와	wa
왁	wak
왂	wakk
왃	waks
완	wan
왅	wanj
왆	wanh
왇	wat
왈	wal
왉	walk
왊	walm
왋	walp
왌	wals
왍	walt
왎	walp
왏	walh
왐	wam
왑	wap
왒	waps
왓	was
왔	wass
왕	wang
왖	waj
왗	wach
왘	wak
왙	wat
왚	wap
왛	wah
왜	wae
왝	waek
왞	waekk
왟	waeks
왠	waen
왡	waenj
왢	waenh
왣	waet
왤	wael
왥	waelk
왦	waelm
왧	waelp
왨	waels
왩	waelt
왪	waelp
왫	waelh
왬	waem
왭	waep
왮	waeps
왯	waes
왰	waess
왱	waeng
왲	waej
왳	waech
왴	waek
왵	waet
왶	waep
왷	waeh
외	oe
왹	oek
왺	oekk
왻	oeks
왼	oen
왽	oenj
왾	oenh
왿	oet
욀	oel
욁	oelk
욂	oelm
욃	oelp
욄	oels
욅	oelt
욆	oelp
욇	oelh
욈	oem
욉	oep
욊	oeps
욋	oes
욌	oess
욍	oeng
욎	oej
욏	oech
욐	oek
욑	oet
욒	oep
욓	oeh
요	yo
욕	yok
욖	yokk
욗	yoks
욘	yon
욙	yonj
욚	yonh
욛	yot
욜	yol
욝	yolk
욞	yolm
욟	yolp
욠	yols
욡	yolt
욢	yolp
욣	yolh
욤	yom
욥	yop
욦	yops
욧	yos
욨	yoss
용	yong
욪	yoj
욫	yoch
욬	yok
욭	yot
욮	yop
욯	yoh
우	u
욱	uk
욲	ukk
욳	uks
운	un
욵	unj
욶	unh
욷	ut
울	ul
욹	ulk
욺	ulm
욻	ulp
욼	uls
욽	ult
욾	ulp
욿	ulh
움	um
웁	up
웂	ups
웃	us
웄	uss
웅	ung
웆	uj
웇	uch
웈	uk
웉	ut
웊	up
웋	uh
워	wo
웍	wok
웎	wokk
웏	woks
원	won
웑	wonj
웒	wonh
웓	wot
월	wol
웕	wolk
웖	wolm
웗	wolp
웘	wols
웙	wolt
웚	wolp
웛	wolh
웜	wom
웝	wop
웞	wops
웟	wos
웠	woss
웡	wong
웢	woj
웣	woch
웤	wok
웥	wot
웦	wop
웧	woh
웨	we
웩	wek
웪	wekk
웫	weks
웬	wen
웭	wenj
웮	wenh
웯	wet
웰	wel
웱	welk
웲	welm
웳	welp
웴	wels
웵	welt
웶	welp
웷	welh
웸	wem
웹	wep
웺	weps
웻	wes
웼	wess
웽	weng
웾	wej
웿	wech
윀	wek
윁	wet
윂	wep
윃	weh
위	wi
윅	wik
윆	wikk
윇	wiks
윈	win
윉	winj
윊	winh
윋	wit
윌	wil
윍	wilk
윎	wilm
윏	wilp
윐	wils
윑	wilt
윒	wilp
윓	wilh
윔	wim
윕	wip
윖	wips
윗	wis
윘	wiss
윙	wing
윚	wij
윛	wich
윜	wik
윝	wit
윞	wip
윟	wih
유	yu
육	yuk
윢	yukk
윣	yuks
윤	yun
윥	yunj
윦	yunh
윧	yut
율	yul
윩	yulk
윪	yulm
윫	yulp
윬	yuls
윭	yult
윮	yulp
윯	yulh
윰	yum
윱	yup
윲	yups
윳	yus
윴	yuss
융	yung
윶	yuj
윷	yuch
윸	yuk
윹	yut
윺	yup
윻	yuh
으	eu
윽	euk
윾	eukk
윿	euks
은	eun
읁	eunj
읂	eunh
읃	eut
을	eul
읅	eulk
읆	eulm
읇	eulp
읈	euls
읉	eult
읊	eulp
읋	eulh
음	eum
읍	eup
읎	eups
읏	eus
읐	euss
응	eung
읒	euj
읓	euch
읔	euk
읕	eut
읖	eup
읗	euh
의	ui
읙	uik
읚	uikk
읛	uiks
읜	uin
읝	uinj
읞	uinh
읟	uit
읠	uil
읡	uilk
읢	uilm
읣	uilp
읤	uils
읥	uilt
읦	uilp
읧	uilh
읨	uim
읩	uip
읪	uips
읫	uis
읬	uiss
읭	uing
읮	uij
읯	uich
읰	uik
읱	uit
읲	uip
읳	uih
이	i
익	ik
읶	ikk
읷	iks
인	in
읹	inj
읺	inh
읻	it
일	il
읽	ilk
읾	ilm
읿	ilp
잀	ils
잁	ilt
잂	ilp
잃	ilh
임	im
입	ip
잆	ips
잇	is
있	iss
잉	ing
잊	ij
잋	ich
잌	ik
잍	it
잎	ip
잏	ih
ᄀ	g
ᄁ	kk
ᄂ	n
ᄃ	d
ᄄ	tt
ᄅ	r
ᄆ	m
ᄇ	b
ᄈ	pp
ᄉ	s
ᄊ	ss
ᄋ	ng
ᄌ	j
ᄍ	jj
ᄎ	ch
ᄏ	k
ᄐ	t
ᄑ	p
ᄒ	h
ᄓ	ng
ᄔ	nn
ᄕ	nd
ᄖ	nb
ᄗ	dg
ᄘ	rn
ᄙ	rr
ᄚ	rh
ᄛ	rng
ᄜ	mb
ᄝ	mng
ᄞ	bg
ᄟ	bn
ᄠ	bd
ᄡ	bs
ᄢ	bsg
ᄣ	bsd
ᄤ	bsb
ᄥ	bss
ᄦ	bsj
ᄧ	bj
ᄨ	bch
ᄩ	bt
ᄪ	bp
ᄫ	bng
ᄬ	ppng
ᄭ	sg
ᄮ	sn
ᄯ	sd
ᄰ	sr
ᄱ	sm
ᄲ	sb
ᄳ	sbg
ᄴ	sss
ᄵ	sng
ᄶ	sj
ᄷ	sch
ᄸ	sk
ᄹ	st
ᄺ	sp
ᄻ	sh
ᄼ	s
ᄽ	ss
ᄾ	s
ᄿ	ss
ᅀ	nj
ᅁ	ngg
ᅂ	ngd
ᅃ	ngm
ᅄ	ngb
ᅅ	ngs
ᅆ	ngnj
ᅇ	ngng
ᅈ	ngj
ᅉ	ngch
ᅊ	ngt
ᅋ	ngp
ᅌ	ng
ᅍ	jng
ᅎ	j
ᅏ	jj
ᅐ	j
ᅑ	jj
ᅒ	chk
ᅓ	chh
ᅔ	ch
ᅕ	ch
ᅖ	pb
ᅗ	png
ᅘ	hh
ᅙ	eung
ᅚ	gt
ᅛ	ns
ᅜ	nj
ᅝ	nh
ᅞ	dr
ᅡ	a
ᅢ	ae
ᅣ	ya
ᅤ	yae
ᅥ	eo
ᅦ	e
ᅧ	yeo
ᅨ	ye
ᅩ	o
ᅪ	wa
ᅫ	wae
ᅬ	oe
ᅭ	yo
ᅮ	u
ᅯ	wo
ᅰ	we
ᅱ	wi
ᅲ	yu
ᅳ	eu
ᅴ	ui
ᅵ	i
ᅶ	ao
ᅷ	au
ᅸ	yao
ᅹ	yayo
ᅺ	eoo
ᅻ	eou
ᅼ	eoeu
ᅽ	yeoo
ᅾ	yeou
ᅿ	oeo
ᆀ	oe
ᆁ	oye
ᆂ	oo
ᆃ	ou
ᆄ	yoya
ᆅ	yoyae
ᆆ	yoyeo
ᆇ	yoo
ᆈ	yoi
ᆉ	ua
ᆊ	uae
