ᠠ	a
ᡝ	e
ᡳ	i
ᡳ᠋	i
ᠣ	o
ᡠ	u
ᡡ	v
ᠠᡳ	ai
ᠠᡳ᠋	ai
ᡝᡳ	ei
ᡝᡳ᠋	ei
ᡳᡳ	ii
ᡳᡳ᠋	ii
ᠣᡳ	oi
ᠣᡳ᠋	oi
ᡠᡳ	ui
ᡠᡳ᠋	ui
ᡡᡳ	vi
ᡡᡳ᠋	vi
ᠠᠣ	ao
ᡝᠣ	eo
ᡳᠣ	io
ᡳᠣᡳ	ioi
ᡳᠣᡳ᠋	ioi
ᠣᠣ	oo
ᡠᠣ	uo
ᡡᠣ	vo
ᠨ	n
᠊ᠨ᠋	nn
ᠨᠠ	na
ᠨᡝ	ne
ᠨᡳ	ni
ᠨᠣ	no
ᠨᡠ	nu
ᠨᡡ	nv
ᠠᠨ	an
ᡝᠨ	en
ᡳᠨ	in
ᠣᠨ	on
ᡠᠨ	un
ᡡᠨ	vn
ᠯ	l
ᠯᠠ	la
ᠯᡝ	le
ᠯᡳ	li
ᠯᠣ	lo
ᠯᡠ	lu
ᠯᡡ	lv
ᠠᠯ	al
ᡝᠯ	el
ᡳᠯ	il
ᠣᠯ	ol
ᡠᠯ	ul
ᡡᠯ	vl
ᠮ	m
ᠮᠠ	ma
ᠮᡝ	me
ᠮᡳ	mi
ᠮᠣ	mo
ᠮᡠ	mu
ᠮᡡ	mv
ᠮᠠᠨᠵᡠ	manju
ᠮᠪᡳ	mbi
ᠠᠮ	am
ᡝᠮ	em
ᡳᠮ	im
ᠣᠮ	om
ᡠᠮ	um
ᡡᠮ	vm
ᠴ	c
ᠴᠠ	ca
ᠴᡝ	ce
ᠴᡳ	ci
ᠴᠣ	co
ᠴᡠ	cu
ᠴᡡ	cv
ᠠᠴ	ac
ᡝᠴ	ec
ᡳᠴ	ic
ᠣᠴ	oc
ᡠᠴ	uc
ᡡᠴ	vc
ᠵ	j
ᠵᠠ	ja
ᠵᡝ	je
ᠵᡳ	ji
ᠵᠣ	jo
ᠵᡠ	ju
ᠵᡡ	jv
ᠠᠵ	aj
ᡝᠵ	ej
ᡳᠵ	ij
ᠣᠵ	oj
ᡠᠵ	uj
ᡡᠵ	vj
ᠰ	s
ᠰᠠ	sa
ᠰᡝ	se
ᠰᡳ	si
ᠰᠣ	so
ᠰᡠ	su
ᠰᡡ	sv
ᠠᠰ	as
ᡝᠰ	es
ᡳᠰ	is
ᠣᠰ	os
ᡠᠰ	us
ᡡᠰ	vs
ᡧ	x
ᡧᠠ	xa
ᡧᡝ	xe
ᡧᡳ	xi
ᡧᠣ	xo
ᡧᡠ	xu
ᡧᡡ	xv
ᠠᡧ	ax
ᡝᡧ	ex
ᡳᡧ	ix
ᠣᡧ	ox
ᡠᡧ	ux
ᡡᡧ	vx
ᡵ	r
ᡵᠠ	ra
ᡵᡝ	re
ᡵᡳ	ri
ᡵᠣ	ro
ᡵᡠ	ru
ᡵᡡ	rv
ᠠᡵ	ar
ᡝᡵ	er
ᡳᡵ	ir
ᠣᡵ	or
ᡠᡵ	ur
ᡡᡵ	vr
ᠶ	y
ᠶᠠ	ya
ᠶᡝ	ye
ᠶᡳ	yi
ᠶᠣ	yo
ᠶᡠ	yu
ᠶᡡ	yv
ᠠᠶ	ay
ᡝᠶ	ey
ᡳᠶ	iy
ᠣᠶ	oy
ᡠᠶ	uy
ᡡᠶ	vy
ᡶ	f
ᡶᠠ	fa
ᡶᡝ	fe
ᡶᡳ	fi
ᡶᠣ	fo
ᡶᡠ	fu
ᡶᡡ	fv
ᠠᡶ	af
ᡝᡶ	ef
ᡳᡶ	if
ᠣᡶ	of
ᡠᡶ	uf
ᡡᡶ	vf
ᠸ	w
ᠸᠠ	wa
ᠸᡝ	we
ᠸᡳ	wi
ᠸᠣ	wo
ᠸᡠ	wu
ᠸᡡ	wv
ᠠᠸ	aw
ᡝᠸ	ew
ᡳᠸ	iw
ᠣᠸ	ow
ᡠᠸ	uw
ᡡᠸ	vw
ᠪ	b
ᠪᠠ	ba
ᠪᡝ	be
ᠪᡳ	bi
ᠪᠣ	bo
ᠪᡠ	bu
ᠪᡡ	bv
ᠠᠪ	ab
ᡝᠪ	eb
ᡳᠪ	ib
ᠣᠪ	ob
ᡠᠪ	ub
ᡡᠪ	vb
ᡦ	p
ᡦᠠ	pa
ᡦᡝ	pe
ᡦᡳ	pi
ᡦᠣ	po
ᡦᡠ	pu
ᡦᡡ	pv
ᠠᡦ	ap
ᡝᡦ	ep
ᡳᡦ	ip
ᠣᡦ	op
ᡠᡦ	up
ᡡᡦ	vp
ᡨ	t
ᡨᠠ	ta
ᡨᡝ	te
ᡨᡳ	ti
ᡨᠣ	to
ᡨᡠ	tu
ᡨᡡ	tv
ᠠᡨ	at
ᡝᡨ	et
ᡳᡨ	it
ᠣᡨ	ot
ᡠᡨ	ut
ᡡᡨ	vt
ᡩ	d
ᡩᠠ	da
ᡩᡝ	de
ᡩᡳ	di
ᡩᠣ	do
ᡩᡠ	du
ᡩᡡ	dv
ᡩᡝᡵᡳ	deri
ᠠᡩ	ad
ᡝᡩ	ed
ᡳᡩ	id
ᠣᡩ	od
ᡠᡩ	ud
ᡡᡩ	vd
ᡴ	k
ᡴ᠋	k
ᡴᠠ	ka
ᡴᡝ	ke
ᡴᡳ	ki
ᡴᠣ	ko
ᡴᡠ	ku
ᡴᡡ	kv
ᠠᡴ	ak
ᡝᡴ	ek
ᡳᡴ	ik
ᠣᡴ	ok
ᡠᡴ	uk
ᡡᡴ	vk
ᠠᡴ᠋	ak
ᡝᡴ᠋	ek
ᡳᡴ᠋	ik
ᠣᡴ᠋	ok
ᡠᡴ᠋	uk
