mmmm   三一
mmmmm  三二
mmmmmm 三三
mmmwc  三四
mmmwhu 三四
mmmmdm 三五
mmmyc  三六
mmmju  三七
mmmjv  三七
mmmho  三八
mmmkn  三九
whum   四一
whumm  四二
whummm 四三
whuwc  四四
whuwhu 四四
whumdm 四五
whuyc  四六
whuju  四七
whujv  四七
whuho  四八
whukn  四九
mdmm   五一
mdmmm  五二
mdmmmm 五三
mdmwc  五四
mdmwhu 五四
mdmmdm 五五
mdmyc  五六
mdmju  五七
mdmjv  五七
mdmho  五八
mdmkn  五九
mmj     二十
mmjm    二十一
mmjmm   二十二
mmjmmm  二十三
mmjwc   二十四
mmjwhu  二十四
mmjmdm  二十五
mmjyc   二十六
mmjju   二十七
mmjjv   二十七
mmjho   二十八
mmjkn   二十九
mmmj    三十
mmmjm   三十一
mmmjmm  三十二
mmmjmmm 三十三
mmmjwc  三十四
mmmjwhu 三十四
mmmjmdm 三十五
mmmjyc  三十六
mmmjju  三十七
mmmjjv  三十七
mmmjho  三十八
mmmjkn  三十九
wcj     四十
wcjm    四十一
wcjmm   四十二
wcjmmm  四十三
wcjwc   四十四
wcjwhu  四十四
wcjmdm  四十五
wcjyc   四十六
wcjju   四十七
wcjjv   四十七
wcjho   四十八
wcjkn   四十九
whuj     四十
whujm    四十一
whujmm   四十二
whujmmm  四十三
whujwc   四十四
whujwhu  四十四
whujmdm  四十五
whujyc   四十六
whujju   四十七
whujjv   四十七
whujho   四十八
whujkn   四十九
mdmj    五十
mdmjm   五十一
mdmjmm  五十二
mdmjmmm 五十三
mdmjwc  五十四
mdmjwhu 五十四
mdmjmdm 五十五
mdmjyc  五十六
mdmjju  五十七
mdmjjv  五十七
mdmjho  五十八
mdmjkn  五十九
ycj     六十
ycjm    六十一
ycjmm   六十二
ycjmmm  六十三
ycjwc   六十四
ycjwhu  六十四
ycjmdm  六十五
ycjyc   六十六
ycjju   六十七
ycjjv   六十七
ycjho   六十八
ycjkn   六十九
juj     七十
jujm    七十一
jujmm   七十二
jujmmm  七十三
jujwc   七十四
jujwhu  七十四
jujmdm  七十五
jujyc   七十六
jujju   七十七
jujjv   七十七
jujho   七十八
jujkn   七十九
jvj     七十
jvjm    七十一
jvjmm   七十二
jvjmmm  七十三
jvjwc   七十四
jvjwhu  七十四
jvjmdm  七十五
jvjyc   七十六
jvjju   七十七
jvjjv   七十七
jvjho   七十八
jvjkn   七十九
hoj     八十
hojm    八十一
hojmm   八十二
hojmmm  八十三
hojwc   八十四
hojwhu  八十四
hojmdm  八十五
hojyc   八十六
hojju   八十七
hojjv   八十七
hojho   八十八
hojkn   八十九
knj     九十
knjm    九十一
knjmm   九十二
knjmmm  九十三
knjwc   九十四
knjwhu  九十四
knjmdm  九十五
knjyc   九十六
knjju   九十七
knjjv   九十七
knjho   九十八
knjkn   九十九
mrr     一〇〇
mxb  正月
mb   一月
mmb  二月
mmmb 三月
wcb  四月
whub 四月
mdmb 五月
ycb  六月
jub  七月
jvb  七月
hob  八月
knb  九月
jb   十月
jmb  十一月
jmmb 十二月
jmmmb 十三月
agmxb  閏正月
agmb   閏一月
agmmb  閏二月
agmmmb 閏三月
agwcb  閏四月
agwhcb 閏四月
agmdmb 閏五月
agycb  閏六月
agjub  閏七月
agjvb  閏七月
aghob  閏八月
agknb  閏九月
agjb   閏十月
agjmb  閏十一月
agjmmb 閏十二月
lgmxb  闰正月
lgmb   闰一月
lgmmb  闰二月
lgmmmb 闰三月
lgwcb  闰四月
lgwhcb 闰四月
lgmdmb 闰五月
lgycb  闰六月
lgjub  闰七月
lgjvb  闰七月
lghob  闰八月
lgknb  闰九月
lgjb   闰十月
lgjmb  闰十一月
lgjmmb 闰十二月
lpltk  𧙟𧝠
