日	a
昌	aa
晶	aaa
曝	aate
明	ab
暝	abac
暧	abbe
盟	abbt
晖	abkq
暖	abme
冒	abu
杲	ad
晰	adhl
时	adi
炅	af
影	afhhh
颢	afmbo
晃	afmu
晌	ahbr
眉	ahbu
曛	ahgf
昴	ahhl
剔	ahln
昕	ahml
星	ahqm
昨	ahs
昂	ahul
晷	ahyr
旷	ai
晟	aihs
晡	aijb
既	aimlu
即	aisl
早	aj
昧	ajd
暑	ajka
暄	ajmm
晓	ajpu
晏	ajv
映	akb
旯	aku
显	allt
晁	alyo
旦	am
晒	amcw
旺	amg
戥	ami
旱	amj
昊	amk
昙	ammi
晤	ammr
晨	ammv
昃	amo
量	amwg
是	amyo
晚	anau
暌	anok
晗	aoir
题	aombo
匙	aop
晔	aopj
韪	aoqs
晦	aowy
易	aphh
昆	app
曷	apvo
昀	apy
晴	aqmb
照	arf
暇	arye
昭	ashr
最	asje
昵	asp
曜	asyg
暴	atce
曦	atgs
巴	au
暨	auam
勖	auks
鹛	aupsm
艮	av
垦	avg
歇	avno
恳	avp
曙	awla
曼	awle
暾	aydk
景	ayrf
曩	ayrv
昱	ayt
暗	ayta
月	b
腽	babt
腥	bahm
幂	bakb
胆	bam
肥	bau
冥	bayc
朋	bb
骨	bbb
受	bbe
髅	bbfdv
骼	bbher
髀	bbhhj
骺	bbhmr
骶	bbhpm
骰	bbhue
髓	bbiob
髂	bbjhr
髌	bbjoc
骷	bbjr
髋	bbjtu
爱	bbke
觅	bblu
册	bbm
胴	bbmr
脬	bbnd
舜	bbnq
骱	bboll
鹏	bbpm
鹘	bbpsm
髁	bbwd
髑	bbwli
骸	bbyvo
罕	bcmj
脱	bcru
采	bd
彩	bdhhh
肘	bdi
郛	bdnl
膝	bdoe
乳	bdu
炙	bf
膛	bfbg
脒	bfd
膦	bfdq
胱	bfmu
胖	bfq
滕	bfqe
塍	bfqg
腾	bfqm
媵	bfqv
肚	bg
氍	bghqu
脚	bgil
周	bgr
臌	bgte
膨	bgth
腺	bhae
脓	bhbv
豺	bhdh
胳	bher
貌	bhhau
貉	bhher
肜	bhhh
脾	bhhj
貔	bhhwp
貊	bhmha
貅	bhod
豹	bhpi
胝	bhpm
胜	bhqm
胙	bhs
貂	bhshr
貘	bhtak
肌	bhu
股	bhue
舀	bhx
腴	bhxo
膊	bibi
脏	big
脯	bijb
胧	bikp
脉	bine
腑	bioi
腿	biov
悬	bip
腻	bipo
胎	bir
臁	bitc
虢	biypu
肺	bjb
脖	bjbd
腩	bjbj
膣	bjcg
腔	bjcm
肢	bje
腙	bjmf
腚	bjmo
脘	bjmu
腕	bjnu
膑	bjoc
胺	bjv
冈	bk
胨	bkd
然	bkf
肱	bki
网	bkk
刚	bkln
腌	bklu
胯	bkms
胰	bkn
军	bkq
肋	bks
胁	bksc
肿	bl
腓	blmy
刖	bln
见	blu
胂	blwl
且	bm
胚	bmfm
腼	bmhw
县	bmi
肝	bmj
爰	bmke
助	bmks
删	bmln
具	bmmc
肟	bmms
朊	bmmu
雎	bmog
豚	bmpo
同	bmr
膈	bmrb
冠	bmui
膘	bmwf
腰	bmwv
孚	bnd
豸	bnhh
腱	bnkq
脆	bnmu
肷	bno
胫	bnom
肠	bnsh
冤	bnui
贝	bo
腹	boae
赐	boaph
肭	bob
赠	bocwa
财	bodh
赕	boff
贩	bohe
赂	boher
胗	bohh
贬	bohio
赙	boibi
赃	boig
贼	boij
赇	boije
贱	boim
贻	boir
赌	bojka
贮	bojm
赎	bojnk
贿	bokb
则	boln
脍	bomi
脸	bomm
祭	bommf
赈	bommv
腧	bomn
赋	bompm
赡	boncr
脞	boog
罂	booju
败	book
赊	boomf
购	bopi
账	bopo
贶	borhu
赆	bosoy
赚	botxc
婴	bov
贴	boyr
赔	boytr
赅	boyvo
脂	bpa
胀	bpo
朐	bpr
胞	bpru
肫	bpu
胸	bpuk
用	bq
皲	bqdhe
腠	bqkk
腈	bqmb
郓	bqnl
肤	bqo
甩	bqu
脶	brob
雕	brog
臊	brrd
腭	brrs
脲	bse
服	bsle
凸	bss
皿	bt
腊	bta
膜	btak
腆	btbc
朦	btbo
朕	btk
胼	btt
膳	bttr
罔	btyv
目	bu
眼	buav
瞑	bubac
瞬	bubbq
睬	bubd
睇	bucnh
盼	bucsh
睐	budt
瞠	bufbg
眯	bufd
瞵	bufdq
眇	bufh
睦	bugcg
眭	bugg
瞌	bugit
瞅	buhdf
睥	buhhj
眨	buhio
睡	buhjm
繇	buhvf
瞍	buhxe
睨	buhxu
睃	buice
眸	buihq
眙	buir
睹	bujka
睫	bujlo
瞎	bujqr
眈	bulbu
眺	bulyo
盱	bumd
睚	bumgg
盯	bumn
瞟	bumwf
眄	bumys
瞻	buncr
眵	bunin
瞰	bunjk
睽	bunok
瞪	bunot
睁	bunsd
瞿	buog
矍	buoge
瞧	buogf
睑	buomm
鹞	bupsm
盹	bupu
睛	buqmb
眠	burup
瞩	bushb
眍	busk
眶	busmg
瞒	butlb
瞄	butw
鼎	buvhl
眦	buymp
瞳	buytg
眩	buyvi
妥	bv
奚	bvik
鹦	bvpsm
胭	bwk
胛	bwl
爵	bwli
腮	bwp
丹	by
膪	bybr
膀	bybs
胶	byck
彤	byhhh
肪	byhs
肮	byhu
脐	bykl
胩	bymy
腋	byok
胪	bys
写	bysm
臆	bytp
脑	byuk
臃	byvg
胲	byvo
膻	bywm
金	c
镅	cahu
钽	cam
锝	cami
甑	camuu
锡	caph
锟	capp
钯	cau
银	cav
镘	cawe
钥	cb
锊	cbdi
钢	cbk
锾	cbme
铜	cbmr
锄	cbms
钡	cbo
铡	cbon
钼	cbu
鑫	ccc
锑	ccnh
锐	ccru
铍	cdhe
钵	cdm
铼	cdt
钗	cei
铴	cenh
铎	ceq
钬	cf
销	cfb
镗	cfbg
锁	cfbo
镂	cfdv
锬	cff
钞	cfh
锩	cfqu
铛	cfsm
钍	cg
铂	cha
锦	chab
锹	chdf
锈	chds
钣	che
锋	chej
铬	cher
铥	chgi
锆	chgr
铣	chgu
钐	chhh
铆	chhl
镏	chhw
贝	chie
钎	chj
铢	chjd
锻	chje
锺	chjg
锤	chjm
锸	chjx
剃	chln
锨	chlo
颁	chmbo
财	choy
鹈	chpsm
锇	chqi
铁	chqo
所	chu
镍	chud
钒	chui
铅	chur
铄	chvd
锼	chxe
公	ci
锒	ciav
铖	cihs
铺	cijb
钹	cike
镛	cilb
钱	cim
颂	cimbo
瓮	cimu
链	cioq
镳	cipf
铽	cipp
翁	cisy
镰	citc
镀	cite
钺	ciu
针	cj
镇	cjbc
镲	cjbf
镩	cjcl
镕	cjcr
锗	cjka
铑	cjkp
铐	cjks
锭	cjmo
郸	cjnl
镔	cjoc
铊	cjp
铙	cjpu
钴	cjr
铵	cjv
父	ck
爸	ckau
铕	ckb
镣	ckcf
铩	ckd
斧	ckhml
钛	cki
锛	ckjt
钸	cklb
釜	ckmgc
爹	cknin
爷	cksl
铗	ckt
钟	cl
铿	cleg
钏	clll
镤	cllo
钊	cln
镄	clno
钔	cls
锏	clsa
锎	clst
镧	clsw
铀	clw
铫	clyo
镭	cmbw
钚	cmf
钰	cmgi
铘	cmhl
钉	cmn
钶	cmnr
镉	cmrb
镢	cmto
兮	cmvs
镖	cmwf
镡	cmwj
钲	cmym
钙	cmys
铯	cnau
锰	cndt
钮	cng
镪	cnii
铭	cnir
铤	cnkg
键	cnkq
弟	cnlh
锕	cnlr
钌	cnn
钦	cno
镫	cnot
铮	cnsd
钇	cnu
镥	cnwa
钠	cob
锥	cog
镌	cogs
铃	coii
钤	coin
铨	comg
镎	comq
铪	comr
锉	coog
铧	copj
谷	cor
铋	cph
锪	cphp
钓	cpi
锴	cppa
钝	cpu
钧	cpy
锲	cqhk
铸	cqki
锖	cqmb
兑	crhu
铞	crlb
锃	crmg
欲	crno
锅	crob
总	crp
鹆	crpsm
铝	crr
锷	crrs
分	csh
坌	cshg
贫	csho
忿	cshp
盆	csht
岔	cshu
铒	csj
镊	csje
锯	csjr
锓	csme
铌	csp
钷	csr
钜	css
锔	cssr
错	cta
镆	ctak
铹	ctbs
镒	ctct
镁	ctgk
锘	ctkr
钳	ctm
镬	ctoe
镨	ctta
锚	ctw
钆	cu
铠	cusu
钕	cv
铷	cvr
锱	cvvw
钿	cw
曾	cwa
锞	cwd
锂	cwg
单	cwj
锢	cwjr
铟	cwk
钾	cwl
镯	cwli
锣	cwln
兽	cwmr
锶	cwp
镙	cwvf
钨	cxpm
钋	cy
镑	cybs
镝	cycb
铰	cyck
镦	cydk
钫	cyhs
钪	cyhu
铱	cyhv
锍	cyiu
钭	cyj
铈	cylb
锵	cyli
钻	cyr
镐	cyrb
镶	cyrv
镞	cysk
镟	cyso
铲	cyth
锌	cytj
镱	cytp
锫	cytr
镜	cytu
铉	cyvi
木	d
杳	da
楣	dahu
概	daiu
查	dam
棍	dapp
榻	dasy
杷	dau
根	dav
棚	dbb
栅	dbbm
棘	dbdb
刺	dbln
枧	dblu
桐	dbmr
桴	dbnd
樱	dbov
相	dbu
枣	dby
松	dci
梯	dcnh
林	dd
楂	ddam
棼	ddcsh
森	ddd
焚	ddf
材	ddh
彬	ddhh
梵	ddhui
村	ddi
麓	ddixp
樊	ddk
攀	ddkq
禁	ddmmf
梦	ddni
郴	ddnl
楚	ddnyo
懋	ddp
婪	ddv
楝	ddwf
权	de
树	dedi
桫	defh
柽	deg
杈	dei
颇	dembo
杰	df
梢	dfb
樘	dfbg
榉	dfcq
楼	dfdv
杪	dfh
桄	dfmu
档	dfsm
杜	dg
棱	dgce
樯	dgcw
桂	dgg
樾	dgou
桔	dgr
才	dh
柏	dha
棉	dhab
槔	dhaj
楸	dhdf
皮	dhe
格	dher
梏	dhgr
杉	dhhh
榭	dhhi
柳	dhhl
榴	dhhw
槐	dhi
株	dhjd
椴	dhje
棰	dhjm
栝	dhjr
桥	dhkl
析	dhml
栀	dhmu
柝	dhmy
桁	dhon
柢	dhpm
柞	dhs
檄	dhsk
机	dhu
枫	dhuk
橇	dhuu
栎	dhvd
桕	dhx
寸	di
梭	dice
桩	dig
槭	dihf
榔	diil
栊	dikp
栈	dim
梿	dioq
槌	dior
械	dit
槠	diua
末	dj
檫	djbf
楠	djbj
植	djbm
榕	djcr
榨	djcs
枝	dje
杖	djk
楮	djka
栳	djkp
栲	djks
棕	djmf
楦	djmm
柠	djmn
椟	djnk
槟	djoc
柁	djp
桡	djpu
枯	djr
棺	djrr
桉	djv
栋	dkd
椅	dkmr
整	dkmym
枷	dksr
束	dl
枕	dlbu
棣	dle
皙	dlha
槛	dlit
榄	dliu
剌	dlln
赖	dlnbo
敕	dlok
榈	dlsr
柚	dlw
桃	dlyo
本	dm
桓	dmam
樗	dmbs
檑	dmbw
栖	dmcw
杯	dmf
枰	dmfj
枉	dmg
柘	dmhr
杌	dmhu
桎	dmig
杆	dmj
枥	dmks
梗	dmlk
桠	dmlt
标	dmmf
橱	dmmi
梧	dmmr
柯	dmnr
柄	dmob
橛	dmto
朽	dmvs
橡	dnao
槲	dnbj
桷	dnbq
檐	dncr
李	dnd
橘	dnhb
极	dnhe
桶	dnib
杼	dnin
橄	dnjk
梃	dnkg
楗	dnkq
椭	dnlb
桅	dnmu
橙	dnot
杨	dnsh
楹	dnst
橹	dnwa
枘	dob
榷	dobg
椎	dog
樵	dogf
榫	dogj
柃	doii
杵	doj
枚	dok
栓	domg
桧	domi
检	domm
榆	domn
枞	doo
桦	dopj
枪	dosu
梅	dowy
檎	doyb
杓	dpi
枨	dpo
枇	dpp
楷	dppa
枸	dpr
楔	dqhk
梆	dqjl
椿	dqka
榛	dqkd
楱	dqkk
棒	dqkq
杏	dr
枳	drc
枵	drms
榀	drrr
楫	drsj
榍	dsfb
椰	dsjl
椐	dsjr
枢	dsk
榧	dsly
棂	dsmf
框	dsmg
柩	dsno
柜	dss
杩	dssm
杞	dsu
樨	dsyq
栩	dsyy
来	dt
模	dtak
檬	dtbo
横	dtlc
槿	dtlm
柑	dtm
棋	dtmc
栏	dtmm
椹	dtmv
样	dtq
槎	dtqm
栉	dtsl
槽	dtwa
樽	dtwi
札	du
想	dup
桤	dusu
橼	dvmo
椽	dvno
棵	dwd
柬	dwf
柙	dwl
椤	dwln
楞	dwls
朴	dy
棹	dyaj
桢	dybo
榜	dybs
校	dyck
椒	dyfe
柱	dyg
枋	dyhs
杭	dyhu
梳	dyiu
柿	dylb
槁	dyrb
椁	dyrd
椋	dyrf
栌	dys
榇	dytd
樟	dytj
核	dyvo
檩	dywf
檀	dywm
榱	dywv
水	e
汨	ea
温	eabt
灏	eafo
涅	eag
湄	eahu
溉	eaiu
湿	ealt
混	eapp
渴	eapv
溻	easy
瀑	eate
艰	eav
漫	eawe
溟	ebac
淝	ebau
滑	ebbb
深	ebcd
淫	ebhg
沉	ebhu
滔	ebhx
浑	ebkq
观	eblu
沮	ebm
洞	ebmr
浮	ebnd
溅	ebom
测	ebon
懑	ebp
泪	ebu
濉	ebug
渺	ebuh
溪	ebvk
泻	ebym
淦	ec
滏	eckg
涕	ecnh
浴	ecor
汾	ecsh
湓	ecst
沐	ed
渣	edam
湘	edbu
淞	edci
淋	edd
潸	eddb
漤	eddv
波	edhe
淅	edhl
对	edi
沫	edj
涑	edl
濑	edlo
颡	edmbo
漆	edoe
涞	edt
汉	ee
淼	eee
桑	eeed
叠	eeem
汊	eei
滩	eeog
泽	eeq
婆	eev
消	efb
淌	efbr
瀵	efdc
淡	eff
沙	efh
泮	efq
圣	eg
洼	egg
法	egi
溘	egit
洁	egr
澎	egth
澍	egti
泊	eha
湟	ehag
澳	ehbk
洫	ehbt
洎	ehbu
浓	ehbv
潲	ehdb
湫	ehdf
潘	ehdw
涤	ehed
洚	eheq
洛	eher
烫	ehf
浩	ehgr
洗	ehgu
泖	ehhl
滗	ehhu
派	ehhv
溜	ehhw
泛	ehio
洙	ehjd
活	ehjr
沃	ehk
添	ehkp
沂	ehml
鲨	ehnwm
挲	ehq
湃	ehqj
激	ehsk
没	ehue
沿	ehur
濞	ehut
娑	ehv
泺	ehvd
溲	ehxe
裟	ehyhv
叉	ei
浪	eiav
溥	eibi
浚	eice
梁	eid
粱	eifd
浦	eijb
渗	eikh
泷	eikp
沩	eiks
洲	eill
蚤	eilmi
溏	eilr
浅	eim
泳	eine
涟	eioq
怼	eip
治	eir
沪	eis
濂	eitc
渡	eite
浒	eiuj
泼	eive
漉	eixp
汁	ej
沛	ejb
滇	ejbc
溶	ejcr
渤	ejds
潮	ejjb
瀚	ejjy
渚	ejka
渖	ejll
演	ejmc
淙	ejmf
渲	ejmm
泞	ejmn
淀	ejmo
浣	ejmu
渎	ejnk
滨	ejoc
沱	ejp
浇	ejpu
沽	ejr
湖	ejrb
涫	ejrr
滓	ejyj
洧	ekb
鋈	ekc
潦	ekcf
潴	ekha
漪	ekhr
汰	eki
浠	ekkb
淹	eklu
渐	ekql
劝	eks
浃	ekt
沈	elbu
渊	elfl
滥	elit
沸	elln
漶	ellp
浊	elmi
溃	elmo
津	elq
涧	elsa
润	elsg
澜	elsw
油	elw
洮	elyo
江	em
洹	emam
濡	embb
酒	emcw
汪	emg
涯	emgg
源	emhf
湎	emhw
汗	emj
沥	emks
沔	emls
溽	emmi
浯	emmr
污	emms
沅	emmu
汀	emn
洌	emnn
河	emnr
鸿	empm
涿	empo
溧	emwd
漂	emwf
湮	emwg
潭	emwj
浼	enau
涣	enbk
澹	encr
汲	enhe
汐	eni
涌	enib
澉	enjk
汛	enju
涎	enkm
邓	enl
滁	enld
泐	enls
渌	enme
欢	eno
泾	enom
澄	enot
涨	enpo
汤	ensh
涵	enue
渔	enwm
溺	enyy
溆	eode
难	eog
泠	eoii
濮	eolo
瀹	eomb
浜	eomc
涂	eomd
浍	eomi
潋	eomk
渝	eomn
洽	eomr
汔	eonu
沦	eop
沲	eopd
沧	eosu
汽	eou
海	eowy
沁	ep
洵	epa
池	epd
泌	eph
沟	epi
淘	epou
泡	epru
沏	epsh
鸡	epsm
泄	ept
渫	eptd
沌	epu
浙	eqhl
沣	eqj
滟	eqju
溱	eqkd
涛	eqki
清	eqmb
渍	eqmo
潜	eqoa
涓	erb
渑	erlu
潞	ermr
涡	erob
澡	errd
汜	eru
泯	erup
浞	eryo
汇	es
涮	esbn
渠	esd
沼	eshr
涩	esim
洱	esj
滠	esje
沤	esk
漏	esmb
浸	esme
渥	esmg
浔	esmi
潺	esnd
泥	esp
濯	esyg
漠	etak
潆	etbf
滢	etbg
湔	etbn
涝	etbs
洪	etc
澌	etcl
溢	etct
港	etcu
漾	etge
漭	etit
滞	etjb
满	etlb
潢	etlc
潇	etlx
泔	etm
淇	etmc
湛	etmv
洋	etq
灌	etrg
溯	etub
滋	etvi
漕	etwa
澧	etwt
汕	eu
鎏	euc
染	eud
汹	euk
湍	eumb
涔	euon
汝	ev
潍	evmg
洳	evr
淄	evvw
渭	ewb
泗	ewc
涸	ewjr
洇	ewk
淠	ewml
溷	ewmo
泅	ewo
涠	ewqs
洄	ewr
漯	ewvf
淖	eyaj
澈	eybk
浈	eybo
滂	eybs
滴	eycb
滦	eycd
湾	eycn
滚	eycv
瀣	eyem
淑	eyfe
注	eyg
濒	eyho
沆	eyhu
流	eyiu
汶	eyk
济	eykl
浏	eykn
涉	eylh
淬	eyoj
液	eyok
滹	eypd
