a ᠠ
e ᡝ
i ᡳ
i ᡳ᠋
o ᠣ
u ᡠ
v ᡡ
ai ᠠᡳ
ai ᠠᡳ᠋
ei ᡝᡳ
ei ᡝᡳ᠋
ii ᡳᡳ
ii ᡳᡳ᠋
oi ᠣᡳ
oi ᠣᡳ᠋
ui ᡠᡳ
ui ᡠᡳ᠋
vi ᡡᡳ
vi ᡡᡳ᠋
ao ᠠᠣ
eo ᡝᠣ
io ᡳᠣ
ioi ᡳᠣᡳ
ioi ᡳᠣᡳ᠋
oo ᠣᠣ
uo ᡠᠣ
vo ᡡᠣ
n ᠨ
nn ᠊ᠨ᠋
na ᠨᠠ
ne ᠨᡝ
ni ᠨᡳ
no ᠨᠣ
nu ᠨᡠ
nv ᠨᡡ
an ᠠᠨ
en ᡝᠨ
in ᡳᠨ
on ᠣᠨ
un ᡠᠨ
vn ᡡᠨ
l ᠯ
la ᠯᠠ
le ᠯᡝ
li ᠯᡳ
lo ᠯᠣ
lu ᠯᡠ
lv ᠯᡡ
al ᠠᠯ
el ᡝᠯ
il ᡳᠯ
ol ᠣᠯ
ul ᡠᠯ
vl ᡡᠯ
m ᠮ
ma ᠮᠠ
me ᠮᡝ
mi ᠮᡳ
mo ᠮᠣ
mu ᠮᡠ
mv ᠮᡡ 
manju ᠮᠠᠨᠵᡠ
mbi ᠮᠪᡳ
am ᠠᠮ
em ᡝᠮ 
im ᡳᠮ
om ᠣᠮ
um ᡠᠮ
vm ᡡᠮ
c ᠴ
ca ᠴᠠ
ce ᠴᡝ
ci ᠴᡳ
co ᠴᠣ
cu ᠴᡠ
cv ᠴᡡ
ac ᠠᠴ
ec ᡝᠴ
ic ᡳᠴ
oc ᠣᠴ
uc ᡠᠴ
vc ᡡᠴ
j ᠵ
ja ᠵᠠ
je ᠵᡝ
ji ᠵᡳ
jo ᠵᠣ
ju ᠵᡠ
jv ᠵᡡ
aj ᠠᠵ
ej ᡝᠵ
ij ᡳᠵ
oj ᠣᠵ
uj ᡠᠵ
vj ᡡᠵ
s ᠰ
sa ᠰᠠ
se ᠰᡝ
si ᠰᡳ
so ᠰᠣ
su ᠰᡠ
sv ᠰᡡ
as ᠠᠰ
es ᡝᠰ
is ᡳᠰ
os ᠣᠰ
us ᡠᠰ
vs ᡡᠰ
x ᡧ
xa ᡧᠠ
xe ᡧᡝ
xi ᡧᡳ
xo ᡧᠣ
xu ᡧᡠ
xv ᡧᡡ
ax ᠠᡧ
ex ᡝᡧ
ix ᡳᡧ
ox ᠣᡧ
ux ᡠᡧ
vx ᡡᡧ
r ᡵ
ra ᡵᠠ
