# ng在字首的都不發音，註釋掉不用了
# 去掉ng的放在最前面，共588個。
a        아
ak       악
akk      앆
aks      앇
an       안
anj      앉
anh      않
at       앋
al       알
alk      앍
alm      앎
alp      앏
als      앐
alt      앑
alp      앒
alh      앓
am       암
ap       압
aps      앖
as       앗
ass      았
ang      앙
aj       앚
ach      앛
ak       앜
at       앝
ap       앞
ah       앟
ae       애
aek      액
aekk     앢
aeks     앣
aen      앤
aenj     앥
aenh     앦
aet      앧
ael      앨
aelk     앩
aelm     앪
aelp     앫
aels     앬
aelt     앭
aelp     앮
aelh     앯
aem      앰
aep      앱
aeps     앲
aes      앳
aess     앴
aeng     앵
aej      앶
aech     앷
aek      앸
aet      앹
aep      앺
aeh      앻
ya       야
yak      약
yakk     앾
yaks     앿
yan      얀
yanj     얁
yanh     얂
yat      얃
yal      얄
yalk     얅
yalm     얆
yalp     얇
yals     얈
yalt     얉
yalp     얊
yalh     얋
yam      얌
yap      얍
yaps     얎
yas      얏
yass     얐
yang     양
yaj      얒
yach     얓
yak      얔
yat      얕
yap      얖
yah      얗
yae      얘
yaek     얙
yaekk    얚
yaeks    얛
yaen     얜
yaenj    얝
yaenh    얞
yaet     얟
yael     얠
yaelk    얡
yaelm    얢
yaelp    얣
yaels    얤
yaelt    얥
yaelp    얦
yaelh    얧
yaem     얨
yaep     얩
yaeps    얪
yaes     얫
yaess    얬
yaeng    얭
yaej     얮
yaech    얯
yaek     얰
yaet     얱
yaep     얲
yaeh     얳
eo       어
eok      억
eokk     얶
eoks     얷
eon      언
eonj     얹
eonh     얺
eot      얻
eol      얼
eolk     얽
eolm     얾
eolp     얿
eols     엀
eolt     엁
eolp     엂
eolh     엃
eom      엄
eop      업
eops     없
eos      엇
eoss     었
eong     엉
eoj      엊
eoch     엋
eok      엌
eot      엍
eop      엎
eoh      엏
e        에
ek       엑
ekk      엒
eks      엓
en       엔
enj      엕
enh      엖
et       엗
el       엘
elk      엙
elm      엚
elp      엛
els      엜
elt      엝
elp      엞
elh      엟
em       엠
ep       엡
eps      엢
es       엣
ess      엤
eng      엥
ej       엦
ech      엧
ek       엨
et       엩
ep       엪
eh       엫
yeo      여
yeok     역
yeokk    엮
yeoks    엯
yeon     연
yeonj    엱
yeonh    엲
yeot     엳
yeol     열
yeolk    엵
yeolm    엶
yeolp    엷
yeols    엸
yeolt    엹
yeolp    엺
yeolh    엻
yeom     염
yeop     엽
yeops    엾
yeos     엿
yeoss    였
yeong    영
yeoj     옂
yeoch    옃
yeok     옄
yeot     옅
yeop     옆
yeoh     옇
ye       예
yek      옉
yekk     옊
yeks     옋
yen      옌
yenj     옍
yenh     옎
yet      옏
yel      옐
yelk     옑
yelm     옒
yelp     옓
yels     옔
yelt     옕
yelp     옖
yelh     옗
yem      옘
yep      옙
yeps     옚
yes      옛
yess     옜
yeng     옝
yej      옞
yech     옟
yek      옠
yet      옡
yep      옢
yeh      옣
o        오
ok       옥
okk      옦
oks      옧
on       온
onj      옩
onh      옪
ot       옫
ol       올
olk      옭
olm      옮
olp      옯
ols      옰
olt      옱
olp      옲
olh      옳
om       옴
op       옵
ops      옶
os       옷
oss      옸
ong      옹
oj       옺
och      옻
ok       옼
ot       옽
op       옾
oh       옿
wa       와
wak      왁
wakk     왂
waks     왃
wan      완
wanj     왅
wanh     왆
wat      왇
wal      왈
walk     왉
walm     왊
walp     왋
wals     왌
walt     왍
walp     왎
walh     왏
wam      왐
wap      왑
waps     왒
was      왓
wass     왔
wang     왕
waj      왖
wach     왗
wak      왘
wat      왙
wap      왚
wah      왛
wae      왜
waek     왝
waekk    왞
waeks    왟
waen     왠
waenj    왡
waenh    왢
waet     왣
wael     왤
waelk    왥
waelm    왦
