ㄱㄴ순 ㄱㄴ順
ㄱ자자 ㄱ字자
ㄱ자집 ㄱ字집
ㄱ자홈 ㄱ字홈
ㄷ변칙활용 ㄷ變則活用
ㄷ불규칙용언 ㄷ不規則用言
ㄷ불규칙활용 ㄷ不規則活用
ㄷ자집 ㄷ字집
ㄹ변칙활용 ㄹ變則活用
ㄹ불규칙활용 ㄹ不規則活用
ㄹ사 ㄹ事
ㅁ자집 ㅁ字집
ㅂ변칙활용 ㅂ變則活用
ㅂ불규칙용언 ㅂ不規則用言
ㅂ불규칙활용 ㅂ不規則活用
ㅅ변칙활용 ㅅ變則活用
ㅅ불규칙용언 ㅅ不規則用言
ㅅ불규칙활용 ㅅ不規則活用
ㅎ변칙활용 ㅎ變則活用
ㅎ불규칙용언 ㅎ不規則用言
ㅎ불규칙활용 ㅎ不規則活用
ㅎ종성체언 ㅎ終聲體言
가 假
가 價
가 加
가 可
가 哥
가 家
가 歌
가 街
가가 假家
가가대소 呵呵大笑
가가대소하다 呵呵大笑하다
가가례 家家禮
가가문전 家家門前
가가호호 家家戶戶
가간사 家間事
가감 加減
가감례 加減例
가감법 加減法
가감산 加減算
가감산하다 加減算하다
가감승제 加減乘除
가감하다 加減하다
가강하다 加强하다
가강히 加强히
가객 佳客
가객 歌客
가건물 假建物
가겟방 가겟房
가격 價格
가격경기 價格景氣
가격연동제 價格連動制
가격지수 價格指數
가격카르텔 價格카르텔
가격탄력성 價格彈力性
가격표 價格票
가격표 價格表
가격혁명 價格革命
가결 可決
가결되다 可決되다
가결안 可決案
가결의 假決議
가결하다 可決하다
가경 佳境
가경 佳景
가경 嘉慶
가경전 加耕田
가경절 嘉慶節
가경지 可耕地
가경하다 可驚하다
가계 加階
가계 家契
가계 家系
가계 家計
가계도 家系圖
가계부 家計簿
가계비 家計費
가계수표 家計手票
가계약 假契約
가계약하다 假契約하다
가계정 假計定
가계하다 加階하다
가고 家故
가고하다 可考하다
가곡 歌曲
가곡선 歌曲選
가곡원류 歌曲源流
가곡집 歌曲集
가골 假骨
가공 加工
가공 架空
가공 歌工
가공무역 加工貿易
가공법 加工法
가공비 加工費
가공사 加工絲
가공삭도 架空索道
가공선 架空線
가공업 加工業
가공유지 加工油脂
가공의치 架工義齒
가공지 加工紙
가공치 架工齒
가공품 加工品
가공하다 加工하다
가공하다 可恐하다
가과 假果
가관 假官
가관 加冠
가관 可觀
가관하다 加冠하다
가교 假橋
가교 架橋
가교 駕轎
가교사 假校舍
가교하다 架橋하다
가구 家具
가구 家口
가구장이 家具장이
가구재 家具材
가구적간 家口摘奸
가구점 家具店
가구주 家口主
가권 家眷
가규 家規
가극 加棘
가극 歌劇
가극단 歌劇團
가극장 歌劇場
가근 假根
가금 家禽
가급금 加給金
가급유 加給由
가급유하다 加給由하다
가급적 可及的
가긍스럽다 可矜스럽다
가긍스레 可矜스레
가긍하다 可矜하다
가긍히 可矜히
가기 佳期
가기 嫁期
가기 家忌
가끼색 가끼色
가나다순 가나다順
가납 假納
가납 嘉納
가납하다 假納하다
가납하다 嘉納하다
가내 家內
가내공업 家內工業
가년 加年
가년하다 加年하다
가노 家奴
가늑골 假肋骨
가늠좌 가늠座
가늠추 가늠錘
가능 可能
가능성 可能性
가능하다 可能하다
가단성 可鍛性
가단철 可鍛鐵
가담 加擔
가담범 加擔犯
가담하다 加擔하다
가담항설 街談巷說
가당분유 加糖粉乳
가당찮다 可當찮다
가당하다 可當하다
가대 架臺
가도 假道
가도 家道
가도 街道
가도관 假導管
가도련 가刀鍊
가도련하다 가刀鍊하다
가도리 加도리
가도조 假賭租
가독부 可毒夫
가독성 可讀性
가동 可動
가동 歌童
가동 稼動
가동교 可動橋
가동댐 可動댐
가동률 稼動率
가동성 可動性
가동언 可動堰
가동언제 可動堰堤
가동주졸 街童走卒
가동하다 稼動하다
가두 街頭
가두검문 街頭檢問
가두데모 街頭데모
가두리 加두리
가두리양식 가두리養殖
가두선전 街頭宣傳
가두시위 街頭示威
가두판매 街頭販賣
가등 加等
가등 街燈
가등기 假登記
가등하다 加等하다
가똑똑이 過똑똑이
가라 伽羅
가라 加羅
가라 迦羅
가라국 加羅國
가라빈가 迦羅頻伽
가라한 駕羅韓
가락 駕洛
가락국 駕洛國
가락국기 駕洛國記
가람 伽藍
가람당 伽藍堂
가람신 伽藍神
가랑이표 가랑이標
가량 假量
가량 加良
가량국 加良國
가량없다 假量없다
가량없이 假量없이
가량통 假量통
가량하다 假量하다
가려하다 佳麗하다
가력 家力
가련하다 可憐하다
가련히 可憐히
가렴잡세 苛斂雜稅
가렴주구 苛斂誅求
가령 假令
가례 嘉禮
가례 家例
가례 家禮
가례도감 嘉禮都監
가례언해 家禮諺解
가로 街路
가로등 街路燈
가로막 가로膜
가로무늬근 가로무늬筋
가로변 街路邊
가로수 街路樹
가로좌표 가로座標
가로축 가로軸
가로획 가로劃
가록 加錄
가록 家祿
가록하다 加錄하다
가롱성진 假弄成眞
가료 加療
가료하다 加療하다
가루 家累
가루라 迦樓羅
가루라법 迦樓羅法
가루분 가루粉
가루약 가루藥
가루우유 가루牛乳
가루즙 가루汁
가름막 가름膜
가릉 訶陵
가릉빈가 迦陵頻伽
가리 假吏
가리 加里
가리킴대명사 가리킴代名詞
가리킴대이름씨 가리킴代이름씨
가리탕 가리湯
가마 加麻
가마호수 가마戶首
가막소 監獄署
가맛방석 가맛方席
가망 加望
가망 可望
가망성 可望性
가망하다 加望하다
가매 假埋
가매 假寐
가매장 假埋葬
가매장하다 假埋葬하다
가매하다 假埋하다
가맹 加盟
가맹국 加盟國
가맹하다 加盟하다
가면 假面
가면극 假面劇
가면무 假面舞
가면무도 假面舞蹈
가면무도회 假面舞蹈會
가면허 假免許
가면희 假面戱
가명 佳名
가명 假名
가명 家名
가모 家母
가몽고 假蒙古
가묘 家廟
가묘제 家廟制
가무 家務
가무 歌舞
가무단 歌舞團
가무연 歌舞宴
가문 家門
가문서 假文書
가뭄해 가뭄害
가미 加味
가미하다 加味하다
가반 加飯
가반교 可搬橋
가반하다 加飯하다
가발 假髮
가방 假房
가방면 假放免
가방면하다 假放免하다
가배 嘉俳
가배 嘉排
가배일 가배日
가배절 가배節
가백 家伯
가법 假法
가법 加法
가법 家法
가법 苛法
가벼운쌍비읍 가벼운雙비읍
가변 可變
가변 家變
가변성 可變性
가변익기 可變翼機
가변자본 可變資本
가별초 家別抄
가보 家寶
가보 家譜
가보세요 가보세謠
가보왕 嘉寶王
가복 加卜
가복 家僕
가복하다 加卜하다
가본 假本
가봉 假縫
가봉녀 加捧女
가봉자 加捧子
가봉하다 假縫하다
가부 可否
가부 家夫
가부 家父
가부간 可否間
가부득감부득 加不得減不得
가부장 家父長
가부장제 家父長制
가부좌 跏趺坐
가부좌하다 跏趺坐하다
가분 可分
가분물 可分物
가분수 假分數
가불 假拂
가불가 可不可
가불금 假拂金
가비 家婢
가빈 家殯
가빈 家貧
가빈하다 家殯하다
가빈하다 家貧하다
가사 假使
가사 假死
가사 家事
가사 歌詞
가사 歌辭
가사 袈裟
가사문학 歌辭文學
가사제 家舍制
가사체 歌辭體
가산 假山
가산 加算
가산 家山
가산 家産
가산금 加算金
가산란 嘉山亂
가산세 加算稅
가산오광대 駕山五廣大
가산하다 加算하다
가산혼합 加算混合
가삼 家蔘
가상 假像
가상 假想
가상 假相
가상 假象
가상 家相
가상계 可想界
가상극 假想劇
가상운동 假象運動
가상적 假想敵
가상적국 假想敵國
가상지상 加上之上
가상하다 假想하다
가상하다 嘉尙하다
가상훈련 假想訓鍊
가상히 嘉尙히
가새염 가새簾
가새주뢰 가새周牢
가새주리 周牢
가새진 가새陣
가새차 가새車
가새표 가새標
가색 假色
가색법 加色法
가서 加敍
가서 家書
가서하다 加敍하다
가석방 假釋放
가석방하다 假釋放하다
가석하다 可惜하다
가석히 可惜히
가선 加線
가선 架線
가선 가線
가선대부 嘉善大夫
가선하다 架線하다
가설 假設
가설 假說
가설 架設
가설극장 假設劇場
가설무대 假設舞臺
가설비 假設費
가설하다 假設하다
가설하다 架設하다
가성 假性
가성 假聲
가성 歌聲
가성 苛性
가성근시 假性近視
가성대 假聲帶
가성명 假姓名
가성문 假聲門
가성석회 苛性石灰
가성소다 苛性소다
가성알칼리 苛性알칼리
가성알코올 苛性알코올
가성칼리 苛性칼리
가세 加勢
가세 嫁稅
가세 家勢
가세 家貰
가세 苛稅
가세하다 加勢하다
가세하다 嫁稅하다
가세하다 苛細하다
가소 假笑
가소 可笑
가소로이 可笑로이
가소롭다 可笑롭다
가소물 可塑物
가소성 可塑性
가소제 可塑劑
가소하다 假笑하다
가속 加速
가속 家屬
가속기 加速器
가속도 加速度
가속하다 加速하다
가솔 家率
가쇄 假刷
가쇄 枷鎖
가쇄하다 假刷하다
가쇄하다 枷鎖하다
가수 假數
가수 假需
가수 價數
가수 嫁樹
가수 枷囚
가수 歌手
가수금 假受金
가수분해 加水分解
가수요 假需要
가수용소 假收容所
가수하다 枷囚하다
가숙 家塾
가스관 가스管
가스난로 가스煖爐
가스등 가스燈
가스병기 가스兵器
가스사 가스絲
