ㄱㄴ순 ㄱㄴ順
ㄱ자자 ㄱ字자
ㄱ자집 ㄱ字집
ㄱ자홈 ㄱ字홈
ㄷ변칙활용 ㄷ變則活用
ㄷ불규칙용언 ㄷ不規則用言
ㄷ불규칙활용 ㄷ不規則活用
ㄷ자집 ㄷ字집
ㄹ변칙활용 ㄹ變則活用
ㄹ불규칙활용 ㄹ不規則活用
ㄹ사 ㄹ事
ㅁ자집 ㅁ字집
ㅂ변칙활용 ㅂ變則活用
ㅂ불규칙용언 ㅂ不規則用言
ㅂ불규칙활용 ㅂ不規則活用
ㅅ변칙활용 ㅅ變則活用
ㅅ불규칙용언 ㅅ不規則用言
ㅅ불규칙활용 ㅅ不規則活用
ㅎ변칙활용 ㅎ變則活用
ㅎ불규칙용언 ㅎ不規則用言
ㅎ불규칙활용 ㅎ不規則活用
ㅎ종성체언 ㅎ終聲體言
가 仮
가 伽
가 何
가 佳
가 假
가 傢
가 價
가 加
가 可
가 呵
가 咖
가 哥
가 哿
가 嘉
가 坷
가 嫁
가 宊
가 家
가 斝
가 暇
가 架
가 枷
가 柯
가 榎
가 檟
가 歌
가 珂
가 珈
가 痂
가 稼
가 笳
가 耞
가 舸
가 苛
가 茄
가 葭
가 街
가 袈
가 訶
가 謌
가 賈
가 跏
가 軻
가 迦
가 駕
가 賈
가가 假家
가가 家家
가가대소 呵呵大笑
가가대소하다 呵呵大笑하다
가가례 家家禮
가가문전 家家門前
가가성자 家家聖者
가가호호 家家戶戶
가각 茄刻
가각 街角
가각본 家刻本
가간 家間
가간사 家間事
가감 加減
가감 可堪
가감례 加減例
가감법 加減法
가감변 加減辨
가감부득 加減不得
가감불득 加減不得
가감비원리 加減比原理
가감산 加減算
가감산하다 加減算하다
가감소거법 加減消去法
가감순서 加減順序
가감승제 加減乘除
가감승합제 加減乘合題
가감역 假監役
가감역관 假監役官
가감은휘 加減隱諱
가감저항기 加減抵抗器
가감죄례 加減罪例
가감지인 可堪之人
가감첨삭 加減添削
가감축전기 加減蓄電器
가감하다 加減하다
가감합제 加減合題
가감형 加減刑
가강하다 加强하다
가강히 加强히
가객 佳客
가객 歌客
가거 家居
가거 街渠
가거지지 可居之地
가건물 假建物
가건축 假建築
가겟방 가겟房
가격 價格
가격 加擊
가격 家格
가격 歌格
가격결정론 價格決定論
가격경기 價格景氣
가격경쟁 價格競爭
가격기구 價格機構
가격분석 價格分析
가격분할 價格分割
가격선도 價格先導
가격선도제 價格先導制
가격수준 價格水準
가격시점 價格時點
가격연동제 價格連動制
가격유지 價格維持
가격인상 價格引上
가격인하 價格引下
가격자유화 價格自由化
가격적 價格的
가격정책 價格政策
가격지수 價格指數
가격차익 價格差益
가격체제 價格體制
가격카르텔 價格카르텔
가격탄력성 價格彈力性
가격통제 價格統制
가격파동 價格波動
가격표 價格票
가격표 價格表
가격혁명 價格革命
가격협정 價格協定
가격효과 價格效果
가견 加譴
가결 加結
가결 可決
가결 可缺
가결되다 可決되다
가결안 可決案
가결의 假決議
가결하다 可決하다
가경 佳境
가경 佳景
가경 加敬
가경 可驚
가경 嘉慶
가경 家慶
가경 歌磬
가경일 嘉慶日
가경전 加耕田
가경절 嘉慶節
가경지 可耕地
가경하다 可驚하다
가계 加計
가계 加階
가계 家契
가계 家戒
가계 家系
가계 家繼
가계 家計
가계 家鷄
가계경제 家計經濟
가계도 家系圖
가계보험 家計保險
가계부 家計簿
가계부기 家計簿記
가계비 家計費
가계상속 家計相續
가계소득 家計所得
가계수지 家計收支
가계수표 家計手票
가계신탁 家計信託
가계약 假契約
가계약하다 假契約하다
가계연구법 家系硏究法
가계우대 家計優待
가계저축 家計貯蓄
가계정 假計定
가계조사 家計調査
가계하다 加階하다
가고 加鼓
가고 可考
가고 家故
가고 歌稿
가고건 可考件
가고문적 可考文籍
가고문헌 可考文獻
가고처 可考處
가고하다 可考하다
가곡 嘉穀
가곡 歌曲
가곡보 歌曲譜
가곡선 歌曲選
가곡원류 歌曲源流
가곡장단 歌曲長短
가곡집 歌曲集
가곡형식 歌曲形式
가골 假骨
가공 加功
가공 加工
가공 可恐
가공 架空
가공 歌工
가공가소 可恐可笑
가공경화 加工硬化
가공공장 加工工場
가공망상 架空妄想
가공무역 加工貿易
가공법 加工法
가공법 家供法
가공비 加工費
가공사 加工絲
가공삭도 架空索道
가공색도 架空索道
가공생산 加工生産
가공선 架空線
가공수입 加工輸入
가공수지 加工樹脂
가공수출 加工輸出
가공식품 加工食品
가공업 加工業
가공영사 假公營私
가공유지 加工乳脂
가공유지 加工油脂
가공의치 架工義齒
가공이익 架空利益
가공이익 架空利益
가공인물 架空人物
가공자산 架空資産
가공적 架空的
가공절목 家供節目
가공주 架空株
가공지 加工紙
가공지선 架空地線
가공창고 加工倉庫
가공철도 架空鐵道
가공치 架工齒
가공품 加工品
가공품질 加工品質
가공하다 加工하다
가공하다 可恐하다
가과 佳果
가과 假果
가과 加課
가과 茄科
가곽 街廓
가관 假官
가관 假觀
가관 加冠
가관 可觀
가관 歌管
가관절 假關節
가관하다 加冠하다
가광 加匡
가괴 可怪
가교 假橋
가교 可敎
가교 家敎
가교 架橋
가교 駕轎
가교봉도 駕轎奉導
가교사 假校舍
가교하다 架橋하다
가구 佳句
가구 假構
가구 家具
가구 家口
가구 架構
가구 街區
가구 街衢
가구경행 街衢經行
가구물 架構物
가구생산 家具生産
가구장이 家具장이
가구재 家具材
가구적간 家口摘奸
가구점 家具店
가구주 家口主
가구판매 家具販賣
가국 佳局
가국 家國
가군 家君
가권 家券
가권 家權
가권 家眷
가권진 歌勸進
가귀 佳句
가귀선인기 駕龜仙人旗
가규 家規
가극 加棘
가극 暇隙
가극 歌劇
가극단 歌劇團
가극대본 歌劇臺本
가극장 歌劇場
가근 假根
가금 假金
가금 價金
가금 加金
가금 呵禁
가금 嘉禽
가금 家禽
가금 苛禁
가금분 家禽糞
가급 加給
가급 苛急
가급금 加給金
가급유 加給由
가급유하다 加給由하다
가급인족 家給人足
가급적 可及的
가긍 可矜
가긍스럽다 可矜스럽다
가긍스레 可矜스레
가긍하다 可矜하다
가긍히 可矜히
가기 佳器
가기 佳期
가기 佳氣
가기 可期
가기 哥器
가기 嘉氣
가기 嫁期
가기 家基
가기 家妓
가기 家忌
가기 歌妓
가기 稼器
가기경과 嫁期經過
가기의방 可欺宜方
가기이기방 可欺以其方
가기이방 可欺以方
가끼색 가끼色
가나다순 가나다順
가난 家難
가납 假納
가납 加納
가납 嘉納
가납판결 假納判決
가납하다 假納하다
가납하다 嘉納하다
가낭청 假郎聽
가내 家內
가내공업 家內工業
가내노동 家內勞動
가내노등 家內勞動
가내노비 家內奴婢
가내노예 家內奴隸
가내부업 家內副業
가녀 歌女
가년 加年
가년하다 加年하다
가념 可念
가노 家奴
가농작 假農作
가늑골 假肋骨
가늠좌 가늠座
가늠추 가늠錘
가능 可能
가능보조어간 可能補助語幹
가능성 可能性
가능수력 可能水力
가능제약 可能制約
가능하다 可能하다
가단 家團
가단 歌壇
가단성 可鍛性
가단주철 可鍛鑄鐵
가단철 可鍛鐵
가담 加擔
가담 街談
가담범 加擔犯
가담하다 加擔하다
가담항설 街談巷說
가담항어 街談巷語
가담항의 街談巷議
가답아 加答兒
가당 可當
가당분유 加糖粉乳
가당연유 加糖煉乳
가당찮다 可當찮다
가당하다 可當하다
가대 假貸
가대 家垈
가대 架臺
가대무전 歌臺舞殿
가덕 嘉德
가덕대부 嘉德大夫
가도 假渡
가도 假賭
가도 假道
가도 加賭
가도 呵導
가도 家道
가도 街道
가도관 假導管
가도구 家道具
가도련 가刀鍊
가도련하다 가刀鍊하다
가도리 加도리
가도벽립 家徒壁立
가도조 假賭租
가독 家督
가독부 可毒夫
가독성 可讀性
가돈 家豚
가동 可動
가동 呵凍
가동 歌童
가동 稼動
가동 街童
가동가서 可東可西
가동관절 可動關節
가동교 可動橋
가동댐 可動댐
가동률 稼動率
가동성 可動性
가동언 可動堰
가동언제 可動堰堤
가동자본 稼動資本
가동접점 可動接點
가동접촉자 可動接觸子
가동제언 可動堤堰
가동주졸 街童走卒
가동중단 稼動中斷
가동하다 稼動하다
가두 假痘
가두 假頭
가두 街頭
가두개헌 街頭改憲
가두검문 街頭檢問
가두검색 街頭檢索
가두극장 街頭劇場
가두녹음 街頭錄音
가두데모 街頭데모
가두리 加두리
가두리양식 가두리養殖
가두모금 街頭募金
가두문학 街頭文學
가두방송 街頭放送
가두분신 街頭焚身
가두서명 街頭暑名
가두선전 街頭宣傳
가두시위 街頭示威
가두연설 街頭演說
가두정치 街頭政治
가두진출 街頭進出
가두집회 街頭集會
가두충돌 街頭衝突
가두판매 街頭販賣
가두판촉 街頭販促
가두행진 街頭行進
가득 稼得
가득률 稼得率
가등 加等
가등 街燈
가등기 假登記
가등하다 加等하다
가똑똑이 過똑똑이
가라 伽羅
가라 加羅
가라 迦羅
가라국 伽羅國
가라국 加羅國
가라빈가 迦羅頻伽
가라한 駕羅韓
가락 駕洛
가락국 駕洛國
가락국기 駕洛國記
가란 家亂
가란화잠 加蘭花簪
가랄 苛辣
가람 伽藍
