# 後面有一個諺文對多個漢字詞的
일 一
일세기 一世紀
일대기 一代記
일이관지 一以貫之
일불성도 一佛成道
일불정토 一佛淨土
일부일앙 一俯一仰
일도삼례 一刀三禮
일도량단 一刀兩斷
일도조 一刀彫
일절중생 一切衆生
일별삼추 一別三秋
일리일해 一利一害
일각천금 一刻千金
일검지임 一劍之任
일동일정 一動一靜
일로영일 一勞永逸
일권석 一卷石
일구이언 一口二言
일구난설 一口難說
일미선 一味禪
일희일비 一喜一悲
일빈일소 一嚬一笑
일국삼공 一國三公
일단화기 一團和氣
일장춘몽 一場春夢
일장풍파 一場風波
일루수 一壘手
일루타 一壘打
일대사 一大事
일대겁 一大劫
일부일부 一夫一婦
일부량처 一夫兩妻
일부다처 一夫多妻
일부종사 一夫從事
일부종신 一夫終身
일자무식 一字無識
일가화합 一家和合
일가단란 一家團欒
일가친척 一家親戚
일가언 一家言
일가문중 一家門中
일기지욕 一己之慾
일평생 一平生
일년근 一年根
일년생 一年生
일년생근 一年生根
일년초 一年草
일년주 一年酒
일률적 一律的
일득일실 一得一失
일심불란 一心不亂
일념삼천 一念三千
일념화생 一念化生
일념왕생 一念往生
일념칭명 一念稱名
일념불생 一念不生
일국루 一掬涙
일거일래 一擧一來
일거일동 一擧一動
일거량득 一擧兩得
일확천금 一攫千金
일패도지 一敗塗地
일방지임 一方之任
일방지예 一方之藝
일방보 一方步
일방행위 一方行爲
일일삼추 一日三秋
일시적 一時的
일망천리 一望千里
일망무애 一望無涯
일망무제 一望無際
일조일석 一朝一夕
일목지지 一木之枝
일목난지 一木難支
일배주 一杯酒
일수백확 一樹百穫
일기축 一機軸
일보불양 一步不讓
일단정신 一段精神
일단락 一段落
일모작 一毛作
일모불발 一毛不拔
일기가성 一氣呵成
일사천리 一瀉千里
일편단심 一片丹心
일편고월 一片孤月
일금일학 一琴一鶴
일당백 一當百
일백륙 一百六
일목십행 一目十行
일목료연 一目瞭然
일순간 一瞬間
일석이조 一石二鳥
일벽만경 一碧萬頃
일소천금 一笑千金
일필휘지 一筆揮之
일필난기 一筆難記
일등성 一等星
일등친 一等親
일립만배 一粒萬倍
일사불란 一絲不亂
일망타진 一網打盡
일맥상통 一脈相通
일비지력 一臂之力
일반화 一般化
일반감각 一般感覺
일반투표 一般投票
일반회계 一般會計
일반개념 一般槪念
일반적 一般的
일반항 一般項
일다경 一茶頃
일엽편주 一葉片舟
일엽지추 一葉知秋
일련탁생 一蓮托生
일견여구 一見如舊
일견식 一見識
일시동인 一視同仁
일람표 一覽表
일람첩기 一覽輒記
일각중문 一角重門
일각문 一角門
일촉즉발 一觸卽發
일언지하 一言之下
일언반구 一言半句
일낙천금 一諾千金
일빈일부 一貧一富
일로평안 一路平安
일신상 一身上
일륜명월 一輪明月
일륜차 一輪車
일주년 一週年
일주일 一週日
일진일퇴 一進一退
일변도 一邊倒
일부분 一部分
일간두옥 一間斗屋
일진광풍 一陣狂風
일면여구 一面如舊
일면식 一面識
일고경성 一顧傾城
일반천금 一飯千金
일궤십기 一饋十起
일기당천 一騎當千
일발불백 一髮不白
일어탁수 一魚濁水
일명경인 一鳴驚人
일룡일저 一龍一猪
일룡일사 一龍一蛇
일락색 一樂索
일불현형 一不現形
정 丁
칠 七
칠원성군 七元星君
칠거지악 七去之惡
칠보단장 七寶丹粧
칠성당 七星堂
칠종칠금 七縱七擒
칠면조 七面鳥
칠전팔기 七顚八起
만 万
장 丈
장조모 丈祖母
삼 三
삼칠일 三七日
삼삼오오 三三五五
삼오야 三五夜
삼위일체 三位一體
삼분오열 三分五裂
삼한사온 三寒四溫
삼척동자 三尺童子
삼년불조 三年不弔
삼년불비 三年不飛
삼손우 三損友
삼일천하 三日天下
삼순구식 三旬九食
삼매경 三昧境
삼권분립 三權分立
삼익우 三益友
삼우제 三虞祭
삼각형 三角形
삼족오 三足烏
삼달존 三達存
삼달존 三達尊
삼달덕 三達德
삼천지교 三遷之敎
삼고초려 三顧草廬
삼불거 三不去
삼불효 三不孝
상 上
상반기 上半期
상덕불덕 上德不德
상수도 上水道
상피조직 上皮組織
상악골 上顎骨
하 下
하극상 下剋上
하화중생 下化衆生
하반기 下半期
하반신 下半身
하당영지 下堂迎之
하학상달 下學上達
하수인 下手人
