aa1gai3     丫髻
aa1gok3gai3 丫角髻
aa1naa4     吖嗱
aa1waan4    丫鬟
aa1zi1      枝丫
aa3baa1     亞爸
aa3baa1     阿爸
aa3baak3    亞伯
aa3bang1    阿崩
aa3bang1giu3gau2jyut6giu3jyut6zau2 阿崩叫狗越叫越走
aa3bang1joeng5maau1zyun2sing3 阿崩養貓轉性
aa3bou2aa3sing3 亞保亞勝
aa3caan3    亞燦
aa3caan3    阿燦
aa3ciu1     阿超
aa3ciu1zoek3fu3guk1zyu6loi4 阿超着褲谷住來
aa3ciu1zoek3fu3guk1zyu6loi4 阿超著褲穀住來
aa3ciu1zoek3fu3guk6zyu6loi4 阿超著褲焗住來
aa3daan1    亞單
aa3daan1tai2bong2 亞單睇榜
aa3daan1tai2bong2jat1ngaan5tai2saai3 亞單睇榜一眼睇曬
aa3dau2gun1 亞斗官
aa3fuk1     亞福
aa3gaap3aa3jyut3 亞甲亞乙
aa3gam2coi3 亞錦賽
aa3gau2     亞狗
aa3gau2aa3maau1 亞狗亞貓
aa3go1      阿哥
aa3gu1      亞姑
aa3gung1    亞公
aa3gung1    阿公
aa3gwai3    阿貴
aa3gwai3maai5bou3m4gong2naa5bat1 阿貴買布唔講那筆
aa3je4      阿爺
aa3kei4     阿奇
aa3kei4saang1aa3kei4kei4soeng6gaa1kei4 阿奇生阿奇奇上加奇
aa3laan4    阿蘭
aa3laan4gaa3aa3seoi6 亞蘭嫁亞瑞
aa3laan4gaa3aa3seoi6leoi6dau3leoi6 阿蘭嫁阿瑞類鬥類
aa3laan4gaa3aa3seoi6leoi6soeng6gaa1leoi6 阿蘭嫁阿瑞累上加累
aa3maa1     阿媽
aa3maa4     阿媽
aa3maa4     阿嫲
aa3maa4     阿嬷
aa3maau1    亞貓
aa3mau6     亞茂
aa3mau6zing2beng2 亞茂整餅
aa3mui6     亞妹
aa3naai5    亞奶
aa3neoi5    亞女
aa3po4      亞婆
aa3po4      阿婆
aa3saang1   亞生
aa3sai3     亞細
aa3sam2     亞嬸
aa3se1si1ou3 阿些斯奧
aa3seoi4    亞誰
aa3seoi6    阿瑞
aa3sin1nou4 阿仙奴
aa3so4      亞傻
aa3sou2     亞嫂
aa3sou2     阿嫂
aa3suk1     亞叔
aa3suk1     阿叔
aa3tau4     亞頭
aa3to4      亞駝
aa3to4      阿駝
aa3to4hang4lou6zung1zung1dei6 阿駝行路中中地
aa3zai2     亞仔
aa3zi1aa3zo2 亞吱亞咗
aa3zyu1aa3gau2 亞豬亞狗
aak1ci4     握持
aap3hyut3   鴨血
aap3naa5    鴨乸
aat3jyu5    猰貐
aau1aau1dat6dat6 凹凹凸凸
aau1dat6    凹凸
ak1ci4      握持
ak1cuk1     齷齪
au2tou3     嘔吐
baa1laa1    巴拉
baa3dou6    霸道
baak3dou6   百度
baak3dou6wan4 百度雲
baak6baak6  白白
baak6ding1  白丁
baat3baat3gwaa3gwaa3 八八卦卦
baat3gwaa3  八卦
baat3sin1   八仙
baat3sin1gwo3hoi2 八仙過海
baat3sin1gwo3hoi2gok3jau5cin1cau1 八仙過海各有千秋
baau6ngaa4  齙牙
bai3ai3     閉翳
bat1bui6    不悖
bat1cai4    不齊
bat1dak6zi2 不特止
bat1gwan1joek6 不龜藥
bat1gwo3    不過
bat1jin4    不然
bat1lau1    不嘍
bat1lau4    不嘍
bat1lau6    不溜
bat1le1bat1le1 嗶哩嗶哩
bat1lei4bat1hei3 不離不棄
bat1lei5bat1lei5 嗶哩嗶哩
bat1liu1    不溜
bat1ping4   不平
bat1zi2     不止
bat1zing3   不正
bei2ngo5    俾我
bei2zo2     俾咗
bei6go1     鼻哥
bei6go1lung4 鼻哥窿
bei6wai5    避諱
bei6zin3    避箭
bik1ham1    壁龕
bin1cyu3    邊處
bin1dou6    邊度
bin1go3     邊個
bin1lou4    邊爐
bin1wai6    邊位
bin2paat6paat6 扁坺坺
bing1zau1   并州
bing2dang2  丙等
bing2jan4   丙寅
bing2je6    丙夜
bing2ng5    丙午
bing2san1   丙申
bing2san4   丙辰
bing2seot1  丙戌
bing2zi2    丙子
bing3tan1   併吞
bing6ce2    並且
bing6hang4  並行
bing6hang4bat1bui6 並行不悖
bing6sai3mou4loeng5 並世無兩
bing6tan1   併吞
bit6ming4   別名
bo1lei4     玻璃
bok3gwat1   駁骨
bong2ngaan5 榜眼
bou2ling4   保齡
bou2waa4    寶華
bou2waa4ze2 寶華姐
bou6hang4   步行
bou6sau2    部首
bun2zi6     本字
caa4baak6   茶白
caa4baak6laam5 茶白欖
caa4bou1    茶煲
caai1jan4   差人
caam1ci1    參差
caam1ci1bat1cai4 參差不齊
caam1haau2  參考
cai4cap1cap1 齊緝緝
cai4hap6    齊合
cam1sik6    侵蝕
cam4cam4    沉沉
can4kwan1   陳琨
can4nin4    陳年
can4nin4zung1cou2joek6faat3laan6zaa1 陳年中草藥發爛渣
can4si6     陳氏
can4sing3   陳姓
cat1cing4luk6juk6 七情六慾
cat1gwok3   七國
cat1gwok3gam2lyun6 七國咁亂
cat1gwok3gam3lyun6 七國咁亂
cat1kam4cat1zung3 七擒七縱
cat1zik6    七夕
cau2gok3    丑角
cau2si4     丑時
cau3mei6    臭味
ce1daai6paau3 車大奅
ce1daai6paau3 車大炮
ce1lei4zi2  車厘子
ce1luk1     車轆
ce1saam1    車衫
ce1taai1    車呔
ce1tin1ce1dei6 車天車地
ce1zi2      車子
ce1zoeng2   車掌
ce2ji4      而且
ce2maan6    且慢
ce2zyu6     且住
ce4paai4    邪牌
ce4paai4ngoi3caai1jan4 邪牌愛差人
ce4paai4oi3caai1jan4 邪牌愛差人
ceoi1guk1   催穀
ceoi4fu3    除褲
ceoi4fu3fong3pei3do1ci2jat1geoi2 除褲放屁多此一舉
ceot1gaang1 出更
ceot1jap6   出入
ceot1ji4    齣兒
ceot1loeng4 出糧
ceot1sai3   出世
ceot1sai3zi2 出世紙
ceot1zi2    齣子
ci1ceoi1    次且
ci1maa1gan1 黐孖筋
ci1ngaa3    疵齾
ci1sin3     黐線
ci1sin3lou2 黐線佬
ci1sin3lou5 黐線佬
ci1sin3po4  黐線婆
ci2gan1     齒根
ci2geoi2    此舉
ci2hei2     齒起
