#干支
干支 gon1zi1
甲子 gaap3zi2
乙丑 jyut3cau2
丙寅 bing2jan4
丁卯 ding1maau5
戊辰 mou6san4
己巳 gei2zi6
庚午 gang1ng5
辛未 san1mei6
壬申 jam4san1
癸酉 gwai3jau5
甲戌 gaap3seot1
乙亥 jyut3hoi6
丙子 bing2zi2
丁丑 ding1cau2
戊寅 mou6jan4
己卯 gei2maau5
庚辰 gang1san4
辛巳 san1zi6
壬午 jam4ng5
癸未 gwai3mei6
甲申 gaap3san1
乙酉 jyut3jau5
丙戌 bing2seot1
丁亥 ding1hoi6
戊子 mou6zi2
己丑 gei2cau2
庚寅 gang1jan4
辛卯 san1maau5
壬辰 jam4san4
癸巳 gwai3zi6
甲午 gaap3ng5
乙未 jyut3mei6
丙申 bing2san1
丁酉 ding1jau5
戊戌 mou6seot1
己亥 gei2hoi6
庚子 gang1zi2
辛丑 san1cau2
壬寅 jam4jan4
癸卯 gwai3maau5
甲辰 gaap3san4
乙巳 jyut3zi6
丙午 bing2ng5
丁未 ding1mei6
戊申 mou6san1
己酉 gei2jau5
庚戌 gang1seot1
辛亥 san1hoi6
壬子 jam4zi2
癸丑 gwai3cau2
甲寅 gaap3jan4
乙卯 jyut3maau5
丙辰 bing2san4
丁巳 ding1zi6
戊午 mou6ng5
己未 gei2mei6
庚申 gang1san1
辛酉 san1jau5
壬戌 jam4seot1
癸亥 gwai3hoi6

# 再補充
舌尖      sit6zim1
恨不得    han6bat1dak1
滴滴      dik1dik1
恨不能    han6bat1nang4
恨不      han6bat1
加速      gaa1cuk1
