下塗り 下塗
下履き 下履
下敷き 下敷
不渡り 不渡
世捨て人 世捨人
並み 並
並み木 並木
並み木道 並木道
並み検査 並検査
並み製 並製
中休み 中休
中入り 中入
丸染め 丸染
主切れ刃 主切刃
乗り場 乗場
乗り物 乗物
乳飲み子 乳飲子
二番取り旋盤 二番取旋盤
二番取り聨置 二番取聨置
二重巻き 二重巻
人並み 人並
人差し指 人差指
人擦れ 人擦
仕切り 仕切
仕切り板 仕切板
仕掛け花火 仕掛花火
仕立て 仕立
仕組み 仕組
仕置き 仕置
仕込み機 仕込機
付き添い 付添
付け焼き刃 付焼刃
伏せ字 伏字
伏し目 伏目
作付け 作付
係り 係
借り方 借方
借り物 借物
借り賃 借賃
元締め 元締
先払い 先払
入り口 入口
入り口名 入口名
入り口命令 入口命令
入り口圧力 入口圧力
入り口弁 入口弁
入り口損失 入口損失
入り口条件 入口条件
入り口温度 入口温度
入り口点 入口点
入り口管 入口管
入り口角 入口角
入り口速度 入口速度
入れ墨 入墨
入れ子 入子
入れ子煙突 入子煙突
入れ子管 入子管
入れ子継手 入子継手
入り日 入日
入れ智恵 入智恵
入れ歯 入歯
入り江 入江
入り海 入海
入れ溝 入溝
入れ物 入物
入り用 入用
入り船 入船
冷や水 冷水
冷や汗 冷汗
冷や飯 冷飯
冷や麦 冷麦
出力待ち行列 出力待行列
切り傷 切傷
切り口 切口
切り子 切子
切り岸 切岸
切り戸 切戸
切り換え 切換
切り札 切札
切り株 切株
切り石 切石
切り身 切身
別刷り 別刷
利き目 利目
刺し子 刺子
前借り 前借
前売り 前売
前当て 前当
前後ろ 前後
前掛け 前掛
前書き 前書
前祝い 前祝
前置き 前置
前輪駆動自動車 前輪駆動車
割り 割
割り前 割前
割り勘 割勘
割り印 割印
割り札 割札
割り注 割注
割り符 割符
勝ち味 勝味
勝ち抜き 勝抜
勝ち目 勝目
十人並み 十人並
半仕上げ 半仕上
即席絞り 即席絞
取り札 取札
受入れ検査 受入検査
受け渡し 受渡
受渡し地 受渡地
受け身 受身
台丸編み機 台丸編機
合い口 合口
合い着 合着
合い縁奇縁 合縁奇縁
合い鍵 合鍵
同位体存在比率 同位体存在率
吐き気 吐気
吸取り紙 吸取紙
吸い口 吸口
吸い物 吸物
吸込み 吸込
吸込み圧力 吸込圧力
吸込み揚程 吸込揚程
吸込み管 吸込管
吹き出物 吹出物
吹き矢 吹矢
告げ口 告口
呼び値 呼値
呼び名 呼名
呼び声 呼声
呼び水 呼水
呼び物 呼物
問い 問
地引き網 地引網
地織り 地織
埋め木 埋木
埋め草 埋草
塑性流れ 塑性流
塗り 塗
塗り絵 塗絵
塗り薬 塗薬
墨染め 墨染
売れ口 売口
売り子 売子
売り手 売手
売り物 売物
夕暮れ 夕暮
夕焼け 夕焼
夜討ち 夜討
大立て者 大立者
天引き 天引
学割り 学割
守り 守
家並み 家並
寄せ木 寄木
寄り道 寄道
封切り 封切
小使い 小使
小売り 小売
小遣い 小遣
局所排気設備 局所排気
届け 届
履き物 履物
山狩り 山狩
差し出口 差出口
差し潮 差潮
差し足 差足
差し金 差金
巻上げ機 巻上機
巻上げ機関 巻上機関
巻上げ綱 巻上綱
巻上げ編機 巻上編機
巻上げ速度 巻上速度
巻上げ鎖 巻上鎖
巻上げ電動機 巻上電動機
巻取り紙 巻取紙
巻き尺 巻尺
巻き染め 巻染
巻き網 巻網
巻き貝 巻貝
巻き雲 巻雲
布磨き機 布磨機
帆掛け船 帆掛船
帳付け 帳付
帳合い 帳合
干し草 干草
平ら部 平部
年寄り 年寄
年越し 年越
底光り 底光
底引き網 底引網
延べ人員 延人員
建て前 建前
建て売り 建売
弁守り 弁守
弁止め金具 弁止金具
引け値 引値
引き出物 引出物
引き戸 引戸
引き手 引手
引く手 引手
引抜き 引抜
引抜き型 引抜型
引抜き温度 引抜温度
引け時 引時
引き札 引札
引き潮 引潮
引き物 引物
引け目 引目
引き網 引網
引き舟 引舟
引き菓子 引菓子
引け際 引際
張力補正測量 張力補正
張り子 張子
張り手 張手
張り番 張番
張り紙 張紙
弾き手 弾手
当て字 当字
当て推量 当推量
彫り物 彫物
役付き 役付
待合い 待合
待合い政治 待合政治
待ち遠 待遠
後書き 後書
心付け 心付
成り金 成金
手並み 手並
手付け 手付
手引き 手引
手当て 手当
手打ち 手打
手押し 手押
手続き 手続
手縫い 手縫
手織り 手織
打当て 打当
打抜き盤 打抜盤
打ち水 打水
打ち身 打身
打ち首 打首
折り戸 折戸
折り目 折目
折り紙 折紙
折り詰 折詰
抜取り 抜取
抜き手 抜手
抜け目 抜目
抜け穴 抜穴
抜き足 抜足
抜け道 抜道
押出し機 押出機
押し車 押車
押し麦機 押麦機
持ち主 持主
持ち分 持分
持ち前 持前
持ち味 持味
持ち場 持場
持ち物 持物
振り仮名 振仮名
振り子 振子
挾み 挾
挿し木 挿木
捨て値 捨値
捨て子 捨子
捨て石 捨石
捨て舿 捨舿
捨て金 捨金
捨て鉢 捨鉢
掘り井戸 掘井戸
掘り割り 掘割
掘っ建て小屋 掘建小屋
掘り管 掘管
掛け値 掛値
掛け声 掛声
掛け時計 掛時計
掛け橋 掛橋
掛け物 掛物
掛け目 掛目
掛け算 掛算
掛け軸 掛軸
掛け鄃 掛鄃
掛け金 掛金
接ぎ木 接木
揚げ油 揚油
揚げ物 揚物
摘み草 摘草
放熱器付き変圧器 放熱器付変圧器
新仮名遣い 新仮名遣
方位目盛り 方位目盛
日切り 日切
日割り 日割
日暮れ 日暮
日焼け 日焼
日雇い 日雇
旧仮名遣い 旧仮名遣
早生まれ 早生
明き盲 明盲
星祭り 星祭
晴れ 晴
晴れ着 晴着
晴れ間 晴間
暮れ 暮
曇り 曇
替え歌 替歌
替え玉 替玉
最寄り 最寄
月並み 月並
有り明け 有明
有り金 有金
本立て 本立
本組み 本組
板敷き 板敷
枯れ尾花 枯尾花
枯れ山水 枯山水
枯れ木 枯木
枯れ野 枯野
染め物 染物
梅干し 梅干
棒切り盤 棒切盤
棒巻き 棒巻
棒浮き 棒浮
楽焼き 楽焼
横組み 横組
歯並み 歯並
歯切り刃物 歯切刃物
歴史的仮遣い 歴史的仮遣
死に恥 死恥
死に目 死目
死に神 死神
死に花 死花
死に金 死金
毛織り 毛織
気合い 気合
水受け 水受
水受け石 水受石
水掛け論 水掛論
沖合い 沖合
油入り開閉器 油入開閉器
油揚げ 油揚
泣き虫 泣虫
泣き言 泣言
泣き面 泣面
浮き世 浮世
浮き名 浮名
浮き彫り 浮彫
浮き腰 浮腰
浮き草 浮草
浮き袋 浮袋
浮き足 浮足
浮き身 浮身
浮き雲 浮雲
消し炭 消炭
添え物 添物
溝付き頭 溝付頭
潮吹き 潮吹
火祭り 火祭
焼き中子 焼中子
焼き印 焼印
焼き型 焼型
焼き型砂 焼型砂
焼き場 焼場
焼き太刀 焼太刀
焼き心 焼心
焼き枠 焼枠
焼き物 焼物
焼き玉 焼玉
焼き玉機関 焼玉機関
焼き玉発動機 焼玉発動機
焼き畑 焼畑
焼け石 焼石
焼け跡 焼跡
焼け野 焼野
焼き飯 焼飯
