a 亜
abara 肋
abu 虻
abumi 鐙
abura 油
abura 脂
ada 仇
ada 冦
ada 徒
ago 腭
ago 頤
ago 顎
ai 哀
ai 愛
ai 相
ai 藍
aida 間
aji 味
aji 鯵
aka 垢
aka 赤
akagire 皹
akane 茜
akashi 灯
akashi 燈
akashi 証
akasi 灯
akasi 燈
akasi 証
akatsuki 暁
akatuki 暁
ake 朱
ake 緋
akebono 曙
aki 秋
aku 悪
aku 握
ama 尼
ame 雨
ame 飴
ami 網
an 安
an 暗
an 案
an 行
an 餡
ana 穴
ane 姉
ani 兄
anzu 杏
ao 青
arare 霰
arashi 嵐
arasi 嵐
arawa 露
are 彼
ari 蟻
aru 或
aruji 主
aruzi 主
asa 朝
asa 麻
ase 汗
ashi 芦
ashi 葦
ashi 葭
ashi 蘆
ashi 足
asi 芦
asi 葦
asi 葭
asi 蘆
asi 足
atai 価
atai 値
atama 頭
ate 宛
ato 後
ato 跡
atsu 圧
atsu 奴
atsumono 羹
attoko 鋏
atu 圧
atu 奴
atumono 羹
awa 泡
awa 粟
awabi 鮑
awabi 鰒
aya 彩
aya 文
aya 綾
ayu 鮎
aza 痣
azami 薊
aze 畔
aze 畦
azi 味
azi 鯵
azuma 東
azusa 梓
ba 場
ba 婆
ba 罵
ba 馬
baba 婆
babaa 婆
bachi 撥
bachi 罰
bai 倍
bai 培
bai 売
bai 媒
bai 梅
bai 買
bai 賠
bai 陪
baku 博
baku 幕
baku 暴
baku 漠
baku 瀑
baku 爆
baku 縛
baku 莫
baku 駁
baku 麦
ban 万
ban 伴
ban 判
ban 挽
ban 播
ban 晩
ban 板
ban 番
ban 盤
ban 磐
ban 蛮
bati 撥
bati 罰
batsu 伐
batsu 抜
batsu 末
batsu 罰
batsu 軯
batsu 閥
batta 蝗
batu 伐
batu 抜
batu 末
batu 罰
batu 軯
batu 閥
be 辺
be 部
bei 米
beki 冪
ben 便
ben 勉
ben 弁
ben 鞭
betsu 別
betsu 蔑
betu 別
betu 蔑
bi 備
bi 尾
bi 微
bi 未
bi 眉
bi 美
bi 菨
bi 鼻
bikko 跛
bin 便
bin 敏
bin 瓶
bin 貧
bin 鬢
bo 募
bo 墓
bo 慕
bo 暮
bo 模
bo 母
bo 簿
boku 僕
boku 墨
boku 撲
boku 木
boku 朴
boku 牧
boku 目
boku 睦
bon 凡
bon 煩
bon 犯
bon 盆
botsu 勃
botsu 坊
botsu 歿
botsu 没
botu 勃
botu 坊
botu 歿
botu 没
bou 乏
bou 亡
bou 傍
bou 冒
bou 剖
bou 坊
bou 妄
bou 妨
bou 帽
bou 忘
bou 忙
bou 房
bou 旁
bou 暴
bou 望
bou 某
bou 棒
bou 矛
bou 紡
bou 肪
bou 膨
bou 謀
bou 貌
bou 貿
bou 防
bu 不
bu 侮
bu 分
bu 奉
bu 武
bu 歩
bu 無
bu 舞
bu 部
buchi 斑
bun 分
bun 文
bun 聞
buna 橅
buri 鰤
bushi 節
busi 節
buta 豚
buti 斑
butsu 仏
butsu 物
butu 仏
butu 物
byaku 白
byou 平
byou 廟
byou 描
byou 猫
byou 瓶
byou 病
byou 秒
byou 苗
byou 鋲
cha 茶
chaku 嫡
chaku 着
chi 値
chi 地
chi 恥
chi 池
chi 治
chi 痴
chi 知
chi 稚
chi 置
chi 致
chi 血
chi 質
chi 遅
chichi 乳
chichi 父
chikara 力
chiku 畜
chiku 竹
chiku 築
chiku 蓄
chiku 逐
chimaki 粽
chimata 巷
chin 亭
chin 伝
chin 朕
chin 沈
chin 狆
chin 珍
chin 賃
chin 鎮
chin 陳
chinba 跛
chiri 塵
chitsu 秩
chitsu 窒
cho 緒
cho 苧
cho 著
cho 貯
choku 勅
choku 直
chou 丁
chou 兆
chou 吊
chou 嘲
chou 帳
chou 庁
chou 弔
chou 張
chou 彫
chou 徴
chou 懲
chou 挑
chou 挺
chou 朝
chou 梃
chou 潮
chou 澄
chou 町
chou 眺
chou 聴
chou 脹
chou 腸
chou 蝶
chou 調
chou 貼
chou 超
chou 跳
chou 重
chou 釣
chou 長
chou 頂
chou 鳥
chuu 中
chuu 仲
chuu 宙
chuu 忠
chuu 抽
chuu 昼
chuu 柱
chuu 沖
chuu 注
chuu 虫
chuu 衷
chuu 鋳
chuu 駐
da 唾
da 堕
da 妥
da 惰
da 打
da 舵
da 蛇
da 駄
dai 代
dai 内
dai 台
dai 大
dai 弟
dai 第
dai 題
daidai 橙
daku 濁
daku 諾
dan 団
dan 壇
dan 弾
dan 断
dan 暖
dan 段
dan 男
dan 談
dare 誰
dategami 鬣
datsu 奪
datsu 脱
datu 奪
datu 脱
de 出
de 弟
dei 泥
den 伝
den 殿
den 田
den 電
do 努
do 土
do 奴
do 度
do 怒
dobu 溝
doku 毒
doku 独
doku 読
don 曇
don 鈍
donburi 丼
doro 泥
dou 働
dou 動
dou 同
dou 堂
dou 導
dou 洞
dou 瞳
dou 童
dou 胴
dou 道
dou 銅
e 会
e 依
e 回
e 恵
e 柄
e 江
e 絵
e 衣
ebi 虾
ebisu 夷
ebisu 戎
eda 枝
ei 営
ei 影
ei 映
ei 栄
ei 永
ei 泳
ei 洩
ei 英
ei 衛
ei 詠
ei 鋭
eki 役
eki 易
eki 液
eki 疫
eki 益
eki 駅
en 円
en 厭
en 咽
en 園
en 塩
en 宴
en 延
en 怨
en 援
en 沿
en 演
en 炎
en 煙
en 猿
en 縁
en 遠
en 鉛
era 鰓
esa 餌
etsu 咽
etsu 悦
etsu 謁
etsu 越
etsu 閲
etu 咽
etu 悦
etu 謁
etu 越
etu 閲
ga 我
ga 瓦
ga 画
ga 臥
ga 芽
ga 賀
ga 雅
ga 餓
gai 劾
gai 外
gai 害
gai 慨
gai 概
gai 涯
gai 街
gai 該
gake 巌
gaku 学
gaku 岳
gaku 楽
gaku 額
gama 蒲
gan 丸
gan 元
gan 含
gan 岩
gan 岸
gan 癌
gan 眼
gan 軴
gan 雁
gan 頑
gan 願
gatsu 合
gatsu 月
gatu 合
gatu 月
ge 下
ge 夏
ge 外
ge 戯
ge 解
gei 芸
gei 迎
gei 鯨
geki 劇
geki 撃
geki 激
geki 隙
gen 元
gen 原
gen 厳
gen 嫌
gen 幻
gen 弦
gen 拳
gen 減
gen 源
gen 玄
gen 現
gen 眼
gen 言
gen 限
gen 験
getsu 月
getu 月
gi 偽
gi 儀
gi 宜
gi 戯
gi 技
gi 擬
gi 欺
gi 犧
gi 疑
gi 義
gi 議
gin 吟
gin 銀
go 互
go 五
go 午
go 后
go 呉
go 娯
go 後
go 御
go 悟
go 期
go 牛
go 碁
go 語
go 誤
go 護
goku 極
goku 獄
gomi 芥
gon 勤
gon 厳
gon 権
gon 欣
gon 琴
gon 言
gote 鏝
goto 毎
gou 剛
gou 号
gou 合
gou 強
gou 拷
gou 業
gou 毫
gou 豪
gu 供
gu 具
gu 愚
gu 旧
gun 群
gun 軍
gun 郡
guu 偶
guu 宮
guu 遇
guu 隅
gyaku 虐
gyaku 逆
gyo 御
