# 兼容區漢字對照表
# 如下十二字，在漢字各區無對應字形：﨨﨧﨔﨓﨏﨣﨡﨩﨟﨑﨎﨤，只﨣字在擴展B區有個𧺯
豈 豈
更 更
車 車
賈 賈
滑 滑
串 串
句 句
龜 龜
龜 龜
契 契
金 金
喇 喇
奈 奈
懶 懶
癩 癩
羅 羅
蘿 蘿
螺 螺
裸 裸
邏 邏
樂 樂
洛 洛
烙 烙
珞 珞
落 落
酪 酪
駱 駱
亂 亂
卵 卵
欄 欄
爛 爛
蘭 蘭
鸞 鸞
嵐 嵐
濫 濫
藍 藍
襤 襤
拉 拉
臘 臘
蠟 蠟
廊 廊
朗 朗
浪 浪
狼 狼
郎 郎
來 來
冷 冷
勞 勞
擄 擄
櫓 櫓
爐 爐
盧 盧
老 老
蘆 蘆
虜 虜
路 路
露 露
魯 魯
鷺 鷺
碌 碌
祿 祿
綠 綠
菉 菉
錄 錄
鹿 鹿
論 論
壟 壟
弄 弄
籠 籠
聾 聾
牢 牢
磊 磊
賂 賂
雷 雷
壘 壘
屢 屢
樓 樓
淚 淚
漏 漏
累 累
縷 縷
陋 陋
勒 勒
肋 肋
凜 凜
凌 凌
稜 稜
綾 綾
菱 菱
陵 陵
讀 讀
拏 拏
樂 樂
諾 諾
丹 丹
寧 寧
怒 怒
率 率
異 異
北 北
磻 磻
便 便
復 復
不 不
泌 泌
數 數
索 索
參 參
塞 塞
省 省
葉 葉
說 說
殺 殺
辰 辰
沈 沈
拾 拾
若 若
掠 掠
略 略
亮 亮
兩 兩
凉 凉
梁 梁
糧 糧
良 良
諒 諒
量 量
勵 勵
呂 呂
女 女
廬 廬
旅 旅
濾 濾
礪 礪
閭 閭
驪 驪
麗 麗
黎 黎
力 力
曆 曆
歷 歷
轢 轢
年 年
憐 憐
戀 戀
撚 撚
漣 漣
煉 煉
璉 璉
秊 秊
練 練
聯 聯
輦 輦
蓮 蓮
連 連
鍊 鍊
列 列
劣 劣
咽 咽
烈 烈
裂 裂
說 說
廉 廉
念 念
捻 捻
殮 殮
簾 簾
獵 獵
令 今
囹 囹
寧 寧
嶺 嶺
怜 怜
玲 玲
瑩 瑩
羚 羚
聆 聆
鈴 鈴
零 零
靈 靈
領 領
例 例
禮 禮
醴 醴
隸 隷
惡 惡
了 了
僚 僚
寮 寮
尿 尿
料 料
樂 樂
燎 燎
療 療
蓼 蓼
遼 遼
龍 龍
暈 暈
阮 阮
劉 劉
杻 杻
柳 柳
流 流
溜 溜
琉 琉
留 留
硫 硫
紐 紐
類 類
六 六
戮 戮
陸 陸
倫 倫
崙 崙
淪 淪
輪 輪
律 律
慄 慄
栗 栗
率 率
隆 隆
利 利
吏 吏
履 履
易 易
李 李
梨 梨
泥 泥
理 理
痢 痢
罹 罹
裏 裏
裡 裡
里 里
離 離
匿 匿
溺 溺
吝 吝
燐 燐
璘 璘
藺 藺
隣 隣
鱗 鱗
麟 麟
林 林
淋 淋
臨 臨
立 立
笠 笠
粒 粒
狀 狀
炙 炙
識 識
什 什
茶 茶
刺 刺
切 切
度 度
拓 拓
糖 糖
宅 宅
洞 洞
暴 暴
輻 輻
行 行
降 降
見 見
廓 廓
兀 兀
嗀 嗀
﨎
﨏 﨏
塚 塚
﨑
晴
﨓
﨔
凞
猪
益
礼
神
祥
福
靖
精
羽
﨟
蘒
﨡
諸
﨣
﨤
逸
都
﨧
﨨
﨩
飯
飼
館
鶴
郞
隷
侮
僧
免
勉
勤
卑
喝
嘆
器
塀
墨
層
屮
悔
慨
憎
懲
敏
既
暑
梅
海
渚
漢
煮
爫
琢
碑
社
祉
祈
祐
祖
祝
禍
禎
穀
突
節
練
縉
繁
署
者
臭
艹
艹
著
褐
視
謁
謹
賓
贈
辶
逸
難
響
頻
恵
𤋮
舘
﩮
﩯
並
况
全
侀
充
冀
勇
勺
喝
啕
喙
嗢
塚
墳
奄
奔
婢
嬨
廒
廙
彩
徭
惘
慎
愈
憎
慠
懲
戴
揄
搜
摒
敖
晴
朗
望
杖
歹
殺
流
滛
滋
漢
瀞
煮
瞧
爵
犯
猪
瑱
甆
画
瘝
瘟
益
盛
直
睊
着
磌
窱
節
类
絛
練
缾
者
荒
華
蝹
襁
覆
視
調
諸
請
謁
諾
諭
謹
變
贈
輸
遲
醙
鉶
陼
難
靖
韛
響
頋
頻
鬒
龜
𢡊
𢡄
𣏕
㮝
䀘
䀹
𥉉
𥳐
𧻓
齃
龎
丽
丸
乁
𠄢
你
侮
侻
倂
偺
備
僧
像
㒞
𠘺
免
兔
兤
具
𠔜
㒹
內
再
𠕋
冗
冤
仌
冬
况
𩇟
凵
刃
㓟
刻
剆
割
剷
㔕
勇
勉
勤
勺
包
匆
北
卉
卑
博
即
卽
卿
卿
卿
𠨬
灰
及
叟
𠭣
叫
叱
吆
咞
吸
呈
周
咢
哶
唐
啓
啣
善
善
喙
喫
喳
嗂
圖
嘆
圗
噑
噴
切
壮
城
埴
堍
型
堲
報
墬
𡓤
売
壷
夆
多
夢
奢
𡚨
𡛪
姬
娛
娧
姘
婦
㛮
㛼
嬈
嬾
嬾
𡧈
寃
寘
寧
寳
𡬘
寿
将
当
尢
㞁
屠
屮
峀
岍
𡷤
嵃
𡷦
嵮
嵫
嵼
巡
巢
㠯
巽
帨
帽
幩
㡢
𢆃
㡼
庰
庳
庶
廊
𪎒
廾
𢌱
𢌱
舁
弢
弢
㣇
𣊸
𦇚
形
彫
㣣
徚
忍
志
忹
悁
㤺
㤜
悔
𢛔
惇
慈
慌
慎
慌
慺
憎
憲
憤
憯
懞
懲
懶
成
戛
扝
抱
拔
捐
𢬌
挽
拼
捨
掃
揤
𢯱
搢
揅
掩
㨮
摩
摾
撝
摷
㩬
敏
敬
𣀊
旣
書
晉
㬙
暑
㬈
㫤
冒
冕
最
暜
肭
䏙
朗
望
朡
杞
杓
𣏃
㭉
柺
枅
桒
梅
𣑭
梎
栟
椔
㮝
楂
榣
槪
檨
𣚣
櫛
㰘
次
𣢧
歔
㱎
歲
殟
殺
殻
𣪍
𡴋
𣫺
汎
𣲼
沿
泍
汧
洖
派
海
流
浩
浸
涅
𣴞
洴
港
湮
㴳
滋
滇
𣻑
淹
潮
𣽞
𣾎
濆
瀹
瀞
瀛
㶖
灊
災
灷
炭
𠔥
煅
𤉣
熜
𤎫
爨
爵
牐
𤘈
犀
犕
𤜵
𤠔
獺
王
㺬
玥
㺸
㺸
瑇
瑜
瑱
璅
瓊
㼛
甤
𤰶
甾
𤲒
異
𢆟
瘐
𤾡
𤾸
𥁄
㿼
䀈
直
𥃳
𥃲
𥄙
𥄳
眞
真
真
睊
䀹
瞋
䁆
䂖
𥐝
硎
碌
磌
䃣
𥘦
祖
𥚚
𥛅
福
秫
䄯
穀
穊
穏
𥥼
𥪧
𥪧
竮
䈂
𥮫
篆
築
䈧
𥲀
糒
䊠
糨
糣
紀
𥾆
絣
䌁
緇
縂
繅
䌴
𦈨
𦉇
䍙
𦋙
罺
𦌾
羕
翺
者
𦓚
𦔣
聠
𦖨
聰
𣍟
䏕
育
脃
䐋
脾
媵
𦞧
𦞵
𣎓
𣎜
舁
舄
辞
䑫
芑
芋
芝
劳
花
芳
芽
苦
𦬼
若
茝
荣
莭
茣
莽
菧
著
荓
菊
菌
菜
𦰶
𦵫
𦳕
䔫
蓱
蓳
蔖
𧏊
蕤
𦼬
䕝
䕡
𦾱
𧃒
䕫
虐
虜
虧
虩
蚩
蚈
蜎
蛢
蝹
蜨
蝫
螆
䗗
蟡
蠁
䗹
衠
衣
𧙧
裗
裞
䘵
裺
㒻
𧢮
𧥦
䚾
䛇
誠
諭
變
豕
𧲨
貫
賁
贛
起
𧼯
𠠄
跋
趼
跰
𠣞
軔
輸
𨗒
𨗭
邔
郱
鄑
𨜮
鄛
鈸
鋗
鋘
鉼
鏹
鐕
𨯺
開
䦕
閷
𨵷
䧦
雃
嶲
霣
𩅅
𩈚
䩮
䩶
韠
𩐊
䪲
𩒖
頋
頋
頩
𩖶
飢
䬳
餩
馧
駂
駾
䯎
𩬰
鬒
鱀
鳽
䳎
䳭
鵧
𪃎
䳸
𪄅
𪈎
𪊑
麻
䵖
黹
黾
鼅
鼏
鼖
鼻
𪘀
