一致      jat1zi3
統一      tung2jat1
一枝獨秀  jat1zi1duk6sau3
象聲      zoeng6sing1
象聲      zoeng6seng1
象聲詞    zoeng6sing1ci4
象聲詞    zoeng6seng1ci4
異讀      ji6duk6
異讀字    ji6duk6zi6
丁等      ding1dang2
白丁      baak6ding1
男丁      naam4ding1
天干      tin1gon1
之一      zi1jat1
姓氏      sing3si6
姓氏      seng3si6
七夕      cat1zik6
七情六慾  cat1cing4luk6juk6
七擒七縱  cat1kam4cat1zung3
數詞      sou3ci4
姓氏      sing3si6
姓氏      seng3si6
丈夫      zoeng6fu1
丈人      zoeng6jan4
丈母      zoeng6mou5
丈母      zoeng6mau4 
三才      saam1coi4
三代      saam1doi6
三皇      saam1wong4
三思      saam3si1
三復      saam3fuk1
三思後行  saam3si1hau6hang4
三思後行  saam3si1hau6haang4
上山      soeng5saan1
上書      soeng5syu1
上課      soeng5fo3
上午      soeng6ng5
上司      soeng6si1
上旬      soeng6ceon4
動作      dung6zok3
次數      ci3sou3
一下      jat1haa5
打一下    daa2jat1haa5
下人      haa6jan4
下手      haa6sau2
下午      haa6ng5
古字      gu2zi6
不然      bat1jin4
不離不棄  bat1lei4bat1hei3
一成不變  jat1cing4bat1bin3
丏蔽      min5bai3
遮蔽      ze1bai3
古代      gu2doi6
避箭      bei6zin3
短牆      dyun2coeng4
丐助      koi3zo6
乞丐      hat1koi3
沾丐      zim1koi3
丐助      goi3zo6
乞丐      hat1goi3
沾丐      zim1goi3
丑角      cau2gok3
丑時      cau2si4
小丑      siu2cau2
小醜      siu2cau2
地支      dei6zi1
第二      dai6ji6
第二位    dai6ji6wai6
二位      ji6wai6
且住      ce2zyu6
且慢      ce2maan6
而且      ce2ji4
次且      ci1ceoi1
古漢      gu2hon3
漢語      hon3jyu5
語助      jyu5zo6
助詞      zo6ci4
丕變      pei1bin3
丕烈      pei1lit6
世界      sai3gaai3
世紀      sai3gei2
世紀      sai3gei3
世俗      sai3zuk6
丘陵      jau1ling4
丘壑      jau1kok3
沙丘      saa1jau1
丙等      bing2dang2
丙夜      bing2je6
付丙      fu6bing2
燒棄      siu1hei3
之三      zi1saam1
丞相      sing4soeng3
驛丞      jik6sing4
縣丞      jyun6sing4
丟棄      diu1hei3
丟掉      diu1diu6
丟下      diu1haa6
并州      bing1zau1
山西      saan1sai1
太原      taai3jyun4
別名      bit6ming4
併吞      bing6tan1
兼併      gim1bing6
併吞      bing3tan1
兼併      gim1bing3
並且      bing6ce2
並世無兩  bing6sai3mou4loeng5
並行不悖  bing6hang4bat1bui6
並行      bing6hang4
不悖      bat1bui6
丫鬟      aa1waan4
枝丫      aa1zi1
中土      zung1tou2
中心      zung1sam1
中天      zung1tin1
中邪      zung3ce4
中肯      zung3hang2
中風      zung3fung1
中國      zung3gwok3
握持      ak1ci4
握持      aak1ci4
本字      bun2zi6
小孩      siu2hoi4
頭髮      tau4faat3
分束      fan1cuk1
束成      cuk1sing4
兩角      loeng5gok3
突出      dat6ceot1
樣子      joeng6zi2
習慣      zaap6gwaan3
串聯      cyun3lyun4
串通      cyun3tung1
串供量詞  cyun3gung1loeng6ci4
量詞      loeng6ci4
串供      cyun3gung1
烤肉      haau2juk6
用的      jung6dik1
